Boat number,Size class,Sample number,Mass of boat (g),Mass of boat + sample (g),Mass of sample (g),Sieve date,Start dry time,All water evaporated time,Removed from oven time,Notes,,
67-2,>4.75 mm,D2 Q1,13.5,17.37,3.87,7/13/2023,7/24/2023 4:40 PM,7/24/2023 4:40 PM,7/25/2023 4:45 PM,,,
68-2,>2 mm,D2 Q1,13.5,31.07,17.57,7/13/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
69-2,>250 um,D2 Q1,13.41,60.11,46.7,7/13/2023,7/25/2023 4:55 PM,7/25/2023 4:55 PM,7/26/2023 4:55 PM,,,
70-2,>53 um,D2 Q1,13.48,31.22,17.74,7/13/2023,7/25/2023 4:55 PM,7/25/2023 4:55 PM,7/26/2023 4:55 PM,,,
71-2,Full,E1 Q1,13.44,113.85,100.41,7/13/2023,,,,,,
71.5-2,fPOM,E1 Q1,13.44,13.83,0.39,7/13/2023,8/11/2023 10:30 AM,8/11/2023 10:30 AM,8/13/2023 1:00 PM,,,
72-2,>4.75 mm,E1 Q1,2.19,9.79,7.6,7/13/2023,7/25/2023 4:55 PM,7/25/2023 4:55 PM,7/26/2023 4:55 PM,Had to re-weigh in small tin,,
73-2,>2 mm,E1 Q1,13.59,39.18,25.59,7/13/2023,8/5/2023 8:00 PM,8/5/2023 8:00 PM,8/11/2023 10:00 AM,,,
74-2,>250 um,E1 Q1,13.45,64.96,51.51,7/13/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
75-2,>53 um,E1 Q1,13.57,19.64,6.07,7/13/2023,7/27/2023 4:15 PM,7/27/2023 4:15 PM,7/28/2023 4:30 PM,,,
76-2,Full,D1 Q1,13.28,113.42,100.14,7/13/2023,,,,,,
76.5-2,fPOM,D1 Q1,13.34,13.56,0.22,7/13/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
77-2,>4.75 mm,D1 Q1,13.29,18.53,5.24,7/13/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
78-2,>2 mm,D1 Q1,13.28,44.67,31.39,7/13/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
79-2,>250 um,D1 Q1,13.42,56.85,43.43,7/13/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
80-2,>53 um,D1 Q1,13.26,19.72,6.46,7/13/2023,7/27/2023 4:15 PM,7/27/2023 4:15 PM,7/28/2023 4:30 PM,,,
81-2,Full,D3 Q2,13.12,113.6,100.48,7/13/2023,,,,,,
81.5-2,fPOM,D3 Q2,13.23,14.11,0.88,7/13/2023,8/11/2023 10:30 AM,8/11/2023 10:30 AM,8/13/2023 1:00 PM,,,
82-2,>4.75 mm,D3 Q2,13.15,25.19,12.04,7/13/2023,7/27/2023 4:15 PM,7/27/2023 4:15 PM,7/28/2023 4:30 PM,,,
83-2,>2 mm,D3 Q2,13.21,42.28,29.07,7/13/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
84-2,>250 um,D3 Q2,13.23,51.54,38.31,7/13/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
85-2,>53 um,D3 Q2,2.18,6.09,3.91,7/13/2023,7/25/2023 4:55 PM,7/25/2023 4:55 PM,7/26/2023 4:55 PM,Had to re-weigh in small tin,,
86-2,Full,R3 Q3,13.25,113.36,100.11,7/14/2023,,,,,,
86.5-2,fPOM,R3 Q3,13.2,13.83,0.63,7/14/2023,7/26/2023 3:35 PM,7/26/2023 3:35 PM,7/27/2023 3:45 PM,,,
87-2,>4.75 mm,R3 Q3,13.23,20.24,7.01,7/14/2023,7/26/2023 3:35 PM,7/26/2023 3:35 PM,7/27/2023 3:45 PM,,,
88-2,>2 mm,R3 Q3,13.31,49.73,36.42,7/14/2023,7/27/2023 4:15 PM,7/27/2023 4:15 PM,7/28/2023 4:30 PM,,,
89-2,>250 um,R3 Q3,13.3,52.67,39.37,7/14/2023,7/26/2023 3:35 PM,7/26/2023 3:35 PM,7/27/2023 3:45 PM,,,
90-2,>53 um,R3 Q3,13.21,15.09,1.88,7/14/2023,7/26/2023 3:35 PM,7/26/2023 3:35 PM,7/27/2023 3:45 PM,,,
91-2,Full,R1 Q4,13.3,113.37,100.07,7/14/2023,,,,,,
91.5-2,fPOM,R1 Q4,13.34,13.56,0.22,7/14/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 11:30 AM,,,
92-2,>4.75 mm,R1 Q4,13.32,16.09,2.77,7/14/2023,7/26/2023 3:35 PM,7/26/2023 3:35 PM,7/27/2023 3:45 PM,,,
93-2,>2 mm,R1 Q4,11.98,39.24,27.26,7/14/2023,7/27/2023 4:15 PM,7/27/2023 4:15 PM,7/28/2023 4:15 PM,,,
94-2,>250 um,R1 Q4,11.98,65.62,53.64,7/14/2023,7/26/2023 3:35 PM,7/26/2023 3:35 PM,7/27/2023 3:45 PM,,,
95-2,>53 um,R1 Q4,11.97,16.45,4.48,7/14/2023,7/26/2023 3:35 PM,7/26/2023 3:35 PM,7/27/2023 3:45 PM,,,
96-2,Full,D1 Q4,14.94,114.98,100.04,7/15/2023,,,,,,
96.5-3,fPOM,D1 Q4,13.16,13.24,0.08,7/15/2023,7/26/2023 3:35 PM,7/26/2023 3:35 PM,7/27/2023 3:45 PM,,,
97-2,>4.75 mm,D1 Q4,13.17,20.4,7.23,7/15/2023,7/26/2023 3:35 PM,7/26/2023 3:35 PM,7/27/2023 3:45 PM,,,
98-2,>2 mm,D1 Q4,13.18,43.25,30.07,7/15/2023,7/26/2023 3:35 PM,7/26/2023 3:35 PM,7/27/2023 3:45 PM,,,
99-2,>250 um,D1 Q4,13.12,54.73,41.61,7/15/2023,7/26/2023 3:35 PM,7/26/2023 3:35 PM,7/27/2023 3:45 PM,,,
100-2,>53 um,D1 Q4,14.94,18.89,3.95,7/15/2023,7/26/2023 3:35 PM,7/26/2023 3:35 PM,7/27/2023 3:45 PM,,,
101-2,Full,E1 Q2,13.12,113.46,100.34,7/15/2023,,,,,,
101.5-2,fPOM,E1 Q2,13.19,13.29,0.1,7/15/2023,7/27/2023 4:15 PM,7/27/2023 4:15 PM,7/28/2023 4:30 PM,,,
102-2,>4.75 mm,E1 Q2,13.18,27.01,13.83,7/15/2023,7/26/2023 3:35 PM,7/26/2023 3:35 PM,7/27/2023 3:45 PM,,,
103-2,>2 mm,E1 Q2,13.28,42.9,29.62,7/15/2023,7/27/2023 4:15 PM,7/27/2023 4:15 PM,7/28/2023 4:30 PM,,,
104-2,>250 um,E1 Q2,13.3,53.69,40.39,7/15/2023,7/27/2023 4:15 PM,7/27/2023 4:15 PM,7/28/2023 4:30 PM,,,
105-2,>53 um,E1 Q2,13.26,17.46,4.2,7/15/2023,7/27/2023 4:15 PM,7/27/2023 4:15 PM,7/28/2023 4:30 PM,,,
106-2,Full,D3 Q3,11.99,112.06,100.07,7/15/2023,,,,,,
106.5-2,fPOM,D3 Q3,11.98,12.03,0.05,7/15/2023,7/26/2023 3:35 PM,7/26/2023 3:35 PM,7/27/2023 4:00 PM,,,
107-2,>4.75 mm,D3 Q3,11.97,19,7.03,7/15/2023,7/27/2023 4:15 PM,7/27/2023 4:15 PM,7/28/2023 4:30 PM,,,
108-2,>2 mm,D3 Q3,11.98,39.75,27.77,7/15/2023,7/27/2023 4:15 PM,7/27/2023 4:15 PM,7/28/2023 4:30 PM,,,
109-2,>250 um,D3 Q3,11.96,59.76,47.8,7/15/2023,7/27/2023 4:15 PM,7/27/2023 4:15 PM,7/28/2023 4:30 PM,,,
110-2,>53 um,D3 Q3,11.99,17.64,5.65,7/15/2023,7/27/2023 4:15 PM,7/27/2023 4:15 PM,7/28/2023 4:30 PM,,,
111-2,Full,D1 Q3,11.99,112.45,100.46,7/15/2023,,,,,,
111.5-2,fPOM,D1 Q3,12,12.31,0.31,7/15/2023,7/26/2023 3:35 PM,7/26/2023 3:35 PM,7/27/2023 4:00 PM,,,
112-2,>4.75 mm,D1 Q3,11.97,22.63,10.66,7/15/2023,7/26/2023 3:35 PM,7/26/2023 3:35 PM,7/27/2023 4:00 PM,,,
113-2,>2 mm,D1 Q3,12.02,40.34,28.32,7/15/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
114-2,>250 um,D1 Q3,12.08,58.36,46.28,7/15/2023,7/27/2023 4:15 PM,7/27/2023 4:15 PM,7/28/2023 4:30 PM,,,
115-2,>53 um,D1 Q3,12.07,17.88,5.81,7/15/2023,7/27/2023 4:15 PM,7/27/2023 4:15 PM,7/28/2023 4:30 PM,,,
116-2,Full,E1 Q3,12.06,112.1,100.04,7/15/2023,,,,,,
116.5-2,fPOM,E1 Q3,11.96,12.08,0.12,7/15/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
117-2,>4.75 mm,E1 Q3,11.97,32.12,20.15,7/15/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
118-2,>2 mm,E1 Q3,12.07,44.07,32,7/15/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
119-2,>250 um,E1 Q3,12.12,43.85,31.73,7/15/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
120-2,>53 um,E1 Q3,12.01,17.05,5.04,7/15/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
121-2,Full,C3 Q4,14.93,114.97,100.04,7/15/2023,,,,,,
121.5-2,fPOM,C3 Q4,14.82,15.25,0.43,7/15/2023,8/5/2023 8:00 PM,8/5/2023 8:00 PM,8/11/2023 10:00 AM,,,
122-2,>4.75 mm,C3 Q4,14.92,22.27,7.35,7/15/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
123-2,>2 mm,C3 Q4,14.95,40.42,25.47,7/15/2023,8/5/2023 8:00 PM,8/5/2023 8:00 PM,8/11/2023 10:00 AM,,,
124-2,>250 um,C3 Q4,14.88,64.84,49.96,7/15/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
125-2,>53 um,C3 Q4,14.94,22.44,7.5,7/15/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
126-2,Full,R3 Q5,14.95,115.07,100.12,7/15/2023,,,,,,
126.5-2,fPOM,R3 Q5,14.91,15.14,0.23,7/15/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
127-2,>4.75 mm,R3 Q5,14.9,17.71,2.81,7/15/2023,7/27/2023 4:15 PM,7/27/2023 4:15 PM,7/28/2023 4:30 PM,,,
128-2,>2 mm,R3 Q5,14.85,36.89,22.04,7/15/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
129-2,>250 um,R3 Q5,14.87,66.59,51.72,7/15/2023,7/27/2023 4:15 PM,7/27/2023 4:15 PM,7/28/2023 4:30 PM,,,
130-2,>53 um,R3 Q5,14.9,25.93,11.03,7/15/2023,7/27/2023 4:15 PM,7/27/2023 4:15 PM,7/28/2023 4:30 PM,,,
131-2,Full,A3 Q5,11.99,112.25,100.26,7/15/2023,,,,,,
131.5-2,fPOM,A3 Q5,11.99,12.09,0.1,7/15/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
132-2,>4.75 mm,A3 Q5,12.09,21.16,9.07,7/15/2023,7/27/2023 4:15 PM,7/27/2023 4:15 PM,7/28/2023 4:30 PM,,,
133-2,>2 mm,A3 Q5,11.98,48.37,36.39,7/15/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
134-2,>250 um,A3 Q5,12.1,54.22,42.12,7/15/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
135-2,>53 um,A3 Q5,12,14.75,2.75,7/15/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
136-2,Full,D3 Q4,14.98,115.05,100.07,7/15/2023,,,,,,
136.5-2,fPOM,D3 Q4,14.91,15.05,0.14,7/15/2023,8/5/2023 8:00 PM,8/5/2023 8:00 PM,8/11/2023 10:00 AM,,,
137-2,>4.75 mm,D3 Q4,15.01,23.01,8,7/15/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
138-2,>2 mm,D3 Q4,11.96,38.84,26.88,7/15/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
139-2,>250 um,D3 Q4,12.01,57.82,45.81,7/15/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
140-2,>53 um,D3 Q4,12.03,18.88,6.85,7/15/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
141-2,Full,R3 Q4,13.22,113.23,100.01,7/17/2023,,,,,,
141.5-2,fPOM,R3 Q4,13.33,13.61,0.28,7/17/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
142-2,>4.75 mm,R3 Q4,13.39,22.58,9.19,7/17/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
143-2,>2 mm,R3 Q4,13.46,49.54,36.08,7/17/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
144-2,>250 um,R3 Q4,13.59,56.53,42.94,7/17/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
145-2,>53 um,R3 Q4,13.34,16.6,3.26,7/17/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
1-3,Full,R2 Q3,13.4,113.44,100.04,7/17/2023,,,,,,
1.5-3,fPOM,R2 Q3,16.1,16.24,0.14,7/17/2023,8/15/2023 1:35 PM,8/15/2023 1:35 PM,8/21/2023 8:20 AM,,,
2-3,>4.75 mm,R2 Q3,13.44,16.9,3.46,7/17/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
3-3,>2 mm,R2 Q3,13.32,38.11,24.79,7/17/2023,8/11/2023 10:30 AM,8/11/2023 10:30 AM,8/13/2023 1:00 PM,,,
4-3,>250 um,R2 Q3,13.32,66.68,53.36,7/17/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
5-3,>53 um,R2 Q3,13.53,21.15,7.62,7/17/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
6-3,Full,A3 Q2,13.44,113.55,100.11,7/17/2023,,,,,,
6.5-3,fPOM,A3 Q2,13.22,13.3,0.08,7/17/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
7-3,>4.75 mm,A3 Q2,13.3,23.46,10.16,7/17/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
8-3,>2 mm,A3 Q2,13.54,43.89,30.35,7/17/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
9-3,>250 um,A3 Q2,13.38,59.48,46.1,7/17/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 11:30 AM,,,
10-3,>53 um,A3 Q2,13.32,18.86,5.54,7/17/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 11:30 AM,,,
11-3,Full,C3 Q2,13.32,113.62,100.3,7/17/2023,,,,,,
11.5-3,fPOM,C3 Q2,13.53,13.76,0.23,7/17/2023,8/11/2023 10:30 AM,8/11/2023 10:30 AM,8/13/2023 1:00 PM,,,
12-3,>4.75 mm,C3 Q2,13.27,19.91,6.64,7/17/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 11:30 AM,,,
13-3,>2 mm,C3 Q2,13.33,35.31,21.98,7/17/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
14-3,>250 um,C3 Q2,13.36,66.26,52.9,7/17/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 11:30 AM,,,
15-3,>53 um,C3 Q2,13.39,21.73,8.34,7/17/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 11:30 AM,,,
16-3,Full,A1 Q5,13.33,113.45,100.12,7/18/2023,,,,,,
16.5-3,fPOM,A1 Q5,13.56,13.78,0.22,7/18/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 11:30 AM,,,
17-3,>4.75 mm,A1 Q5,13.29,15.86,2.57,7/18/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
18-3,>2 mm,A1 Q5,13.35,34.34,20.99,7/18/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
19-3,>250 um,A1 Q5,13.31,65.74,52.43,7/18/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
20-3,>53 um,A1 Q5,13.28,25.36,12.08,7/18/2023,7/28/2023 4:30 PM,7/28/2023 4:30 PM,8/3/2023 11:30 AM,,,
21-3,Full,E3 Q1,13.28,113.53,100.25,7/18/2023,,,,,,
21.5-3,fPOM,E3 Q1,13.51,13.67,0.16,7/18/2023,8/11/2023 10:30 AM,8/11/2023 10:30 AM,8/13/2023 1:00 PM,,,
22-3,>4.75 mm,E3 Q1,16.28,25.56,9.28,7/18/2023,8/11/2023 10:30 AM,8/11/2023 10:30 AM,8/13/2023 1:00 PM,,,
23-3,>2 mm,E3 Q1,13.93,38.59,24.66,7/18/2023,8/15/2023 1:35 PM,8/15/2023 1:35 PM,8/21/2023 8:20 AM,,,
24-3,>250 um,E3 Q1,13.27,61.05,47.78,7/18/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
25-3,>53 um,E3 Q1,13.37,21.42,8.05,7/18/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
26-3,Full,A3 Q3,16.36,116.95,100.59,7/19/2023,,,,,,
26.5-3,fPOM,A3 Q3,13.29,13.36,0.07,7/19/2023,8/15/2023 1:35 PM,8/15/2023 1:35 PM,8/21/2023 8:20 AM,,,
27-3,>4.75 mm,A3 Q3,13.33,17,3.67,7/19/2023,8/11/2023 10:30 AM,8/11/2023 10:30 AM,8/13/2023 1:00 PM,,,
28-3,>2 mm,A3 Q3,16.03,35,18.97,7/19/2023,8/15/2023 1:35 PM,8/15/2023 1:35 PM,8/21/2023 8:20 AM,,,
29-3,>250 um,A3 Q3,16.18,71.75,55.57,7/19/2023,8/11/2023 10:30 AM,8/11/2023 10:30 AM,8/13/2023 1:00 PM,,,
30-3,>53 um,A3 Q3,13.3,24.18,10.88,7/19/2023,8/5/2023 8:00 PM,8/5/2023 8:00 PM,8/11/2023 10:00 AM,,,
31-3,Full,D1 Q2,16.14,116.46,100.32,7/19/2023,,,,,,
31.5-3,fPOM,D1 Q2,13.32,13.36,0.04,7/19/2023,8/11/2023 10:30 AM,8/11/2023 10:30 AM,8/13/2023 1:00 PM,,,
32-3,>4.75 mm,D1 Q2,16.19,27.42,11.23,7/19/2023,8/11/2023 10:30 AM,8/11/2023 10:30 AM,8/13/2023 1:00 PM,,,
33-3,>2 mm,D1 Q2,16.24,45.59,29.35,7/19/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
34-3,>250 um,D1 Q2,16.13,62.49,46.36,7/19/2023,8/11/2023 10:30 AM,8/11/2023 10:30 AM,8/13/2023 1:00 PM,,,
35-3,>53 um,D1 Q2,16.24,21.39,5.15,7/19/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
36-3,Full,C1 Q2,13.39,113.58,100.19,7/20/2023,,,,,,
36.5-3,fPOM,C1 Q2,13.37,13.6,0.23,7/20/2023,8/21/2023 9:00 AM,8/21/2023 9:00 AM,8/23/2023 9:10 AM,,,
37-3,>4.75 mm,C1 Q2,15.96,18.91,2.95,7/20/2023,8/5/2023 8:00 PM,8/5/2023 8:00 PM,8/11/2023 10:00 AM,,,
38-3,>2 mm,C1 Q2,13.21,42.13,28.92,7/20/2023,8/21/2023 9:00 AM,8/21/2023 9:00 AM,8/23/2023 9:10 AM,,,
39-3,>250 um,C1 Q2,16.2,67.24,51.04,7/20/2023,8/23/2023 9:35 AM,8/23/2023 9:35 AM,8/25/2023 9:35 AM,,,
40-3,>53 um,C1 Q2,12.03,19.96,7.93,7/20/2023,8/5/2023 8:00 PM,8/5/2023 8:00 PM,8/11/2023 10:00 AM,,,
41-3,Full,R2 Q4,16.35,116.77,100.42,7/20/2023,,,,,,
41.5-3,fPOM,R2 Q4,15.04,15.58,0.54,7/20/2023,8/31/2023 12:40 PM,8/31/2023 12:40 PM,9/4/2023 9:20 AM,,,
42-3,>4.75 mm,R2 Q4,16.41,21.09,4.68,7/20/2023,8/5/2023 8:00 PM,8/5/2023 8:00 PM,8/11/2023 10:00 AM,,,
43-3,>2 mm,R2 Q4,15,34.84,19.84,7/20/2023,9/6/2023 10:35 AM,9/6/2023 10:35 AM,9/8/2023 10:35 AM,,,
44-3,>250 um,R2 Q4,16.16,74.23,58.07,7/20/2023,8/23/2023 9:35 AM,8/23/2023 9:35 AM,8/25/2023 9:35 AM,,,
45-3,>53 um,R2 Q4,15.01,23.54,8.53,7/20/2023,8/5/2023 8:00 PM,8/5/2023 8:00 PM,8/11/2023 10:00 AM,,,
46-3,Full,E1 Q5,13.37,113.39,100.02,7/21/2023,,,,,,
46.5-3,fPOM,E1 Q5,12.11,12.85,0.74,7/21/2023,8/13/2023 1:40 PM,8/13/2023 1:40 PM,8/15/2023 1:10 PM,,,
47-3,>4.75 mm,E1 Q5,16.18,21.04,4.86,7/21/2023,8/5/2023 8:00 PM,8/5/2023 8:00 PM,8/11/2023 10:00 AM,,,
48-3,>2 mm,E1 Q5,12.06,47.06,35,7/21/2023,8/13/2023 1:40 PM,8/13/2023 1:40 PM,8/15/2023 1:10 PM,,,
49-3,>250 um,E1 Q5,13.26,60.02,46.76,7/21/2023,8/5/2023 8:00 PM,8/5/2023 8:00 PM,8/11/2023 10:00 AM,,,
50-3,>53 um,E1 Q5,13.22,18.26,5.04,7/21/2023,8/13/2023 1:40 PM,8/13/2023 1:40 PM,8/15/2023 1:10 PM,,,
51-3,Full,A3 Q4,13.55,113.61,100.06,7/21/2023,,,,,,
51.5-3,fPOM,A3 Q4,13.26,13.51,0.25,7/21/2023,8/31/2023 12:40 PM,8/31/2023 12:40 PM,9/4/2023 9:20 AM,,,
52-3,>4.75 mm,A3 Q4,13.34,17.02,3.68,7/21/2023,8/21/2023 9:00 AM,8/21/2023 9:00 AM,8/23/2023 9:10 AM,,,
53-3,>2 mm,A3 Q4,14.97,33.24,18.27,7/21/2023,8/29/2023 12:10 PM,8/29/2023 12:10 PM,8/31/2023 12:20 PM,,,
54-3,>250 um,A3 Q4,13.16,73,59.84,7/21/2023,8/23/2023 9:35 AM,8/23/2023 9:35 AM,8/25/2023 9:35 AM,,,
55-3,>53 um,A3 Q4,12.03,22.12,10.09,7/21/2023,8/21/2023 9:00 AM,8/21/2023 9:00 AM,8/23/2023 9:10 AM,,,
56-3,Full,A1 Q2,13.49,113.52,100.03,7/21/2023,,,,,,
56.5-3,fPOM,A1 Q2,14.97,15.06,0.09,7/21/2023,8/11/2023 10:30 AM,8/11/2023 10:30 AM,8/13/2023 1:00 PM,,,
57-3,>4.75 mm,A1 Q2,13.52,23.53,10.01,7/21/2023,8/11/2023 10:30 AM,8/11/2023 10:30 AM,8/13/2023 1:00 PM,,,
58-3,>2 mm,A1 Q2,13.2,44.11,30.91,7/21/2023,8/11/2023 10:30 AM,8/11/2023 10:30 AM,8/13/2023 1:00 PM,,,
59-3,>250 um,A1 Q2,13.68,56.07,42.39,7/21/2023,8/11/2023 10:30 AM,8/11/2023 10:30 AM,8/13/2023 1:00 PM,,,
60-3,>53 um,A1 Q2,13.16,21.4,8.24,7/21/2023,8/11/2023 10:30 AM,8/11/2023 10:30 AM,8/13/2023 1:00 PM,,,
61-3,Full,D1 Q5,13.4,113.43,100.03,7/21/2023,,,,,,
61.5-3,fPOM,D1 Q5,13.28,13.43,0.15,7/21/2023,8/13/2023 1:40 PM,8/13/2023 1:40 PM,8/15/2023 1:10 PM,,,
62-3,>4.75 mm,D1 Q5,13.27,27.6,14.33,7/21/2023,8/13/2023 1:40 PM,8/13/2023 1:40 PM,8/15/2023 1:10 PM,,,
63-3,>2 mm,D1 Q5,13.26,42.68,29.42,7/21/2023,8/13/2023 1:40 PM,8/13/2023 1:40 PM,8/15/2023 1:10 PM,,,
64-3,>250 um,D1 Q5,13.34,59.05,45.71,7/21/2023,8/13/2023 1:40 PM,8/13/2023 1:40 PM,8/15/2023 1:10 PM,,,
65-3,>53 um,D1 Q5,13.33,17.97,4.64,7/21/2023,8/13/2023 1:40 PM,8/13/2023 1:40 PM,8/15/2023 1:10 PM,,,
66-3,Full,A2 Q5,13.37,113.61,100.24,7/21/2023,,,,,,
66.5-3,fPOM,A2 Q5,13.17,13.3,0.13,7/21/2023,8/13/2023 1:40 PM,8/13/2023 1:40 PM,8/15/2023 1:10 PM,,,
67-3,>4.75 mm,A2 Q5,16.25,21.29,5.04,7/21/2023,8/13/2023 1:40 PM,8/13/2023 1:40 PM,8/15/2023 1:10 PM,,,
68-3,>2 mm,A2 Q5,16.13,36.76,20.63,7/21/2023,8/13/2023 1:40 PM,8/13/2023 1:40 PM,8/15/2023 1:10 PM,,,
69-3,>250 um,A2 Q5,13.4,71.61,58.21,7/21/2023,8/13/2023 1:40 PM,8/13/2023 1:40 PM,8/15/2023 1:10 PM,,,
70-3,>53 um,A2 Q5,16.37,24.98,8.61,7/21/2023,8/13/2023 1:40 PM,8/13/2023 1:40 PM,8/15/2023 1:10 PM,,,
71-3,Full,R3 Q1,15.95,115.97,100.02,7/21/2023,,,,,,
71.5-3,fPOM,R3 Q1,13.53,13.99,0.46,7/21/2023,8/23/2023 9:35 AM,8/23/2023 9:35 AM,8/25/2023 9:35 AM,,,
72-3,>4.75 mm,R3 Q1,13.37,20.11,6.74,7/21/2023,8/13/2023 1:40 PM,8/13/2023 1:40 PM,8/15/2023 1:10 PM,,,
73-3,>2 mm,R3 Q1,13.46,41.79,28.33,7/21/2023,8/13/2023 1:40 PM,8/13/2023 1:40 PM,8/15/2023 1:10 PM,,,
74-3,>250 um,R3 Q1,13.4,62.54,49.14,7/21/2023,8/13/2023 1:40 PM,8/13/2023 1:40 PM,8/15/2023 1:10 PM,,,
75-5,>53 um,R3 Q1,13.42,20.99,7.57,7/21/2023,8/13/2023 1:40 PM,8/13/2023 1:40 PM,8/15/2023 1:10 PM,,,
76-3,Full,C1 Q3,13.43,113.76,100.33,7/24/2023,,,,,,
76.5-3,fPOM,C1 Q3,13.47,13.63,0.16,7/24/2023,8/15/2023 1:35 PM,8/15/2023 1:35 PM,8/21/2023 8:20 AM,,,
77-3,>4.75 mm,C1 Q3,15.87,28.31,12.44,7/24/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
