v,v.mean,t,mean,sd,5,95,15,85,25,75
TIC (%),0.369,Seedling,0.636545813,0.148080518,0.377225723,0.847545601,0.495093505,0.764300964,0.542350594,0.709375953
TIC (%),0.369,Acorn,0.176999935,0.05845419,0.083828802,0.27105741,0.110443783,0.223247416,0.131785637,0.203532896
TIC (%),0.369,Seedbank,0.065476779,0.034405392,0.015539834,0.114813221,0.025479817,0.086290253,0.033755948,0.073459677
TIC (%),0.369,Reference,0.065845158,0.034498124,0.014597447,0.116564719,0.022195879,0.084625585,0.032668021,0.072882361
POC (%),0.579033444,Balled-and-burlapped,0.506435348,0.061251566,0.403934299,0.600423439,0.443349429,0.559514609,0.462024185,0.53669182
POC (%),0.579033444,Bareroot,0.625032003,0.06952818,0.510900185,0.72990781,0.553308459,0.681335088,0.570093703,0.651908515
POC (%),0.579033444,Seedling,0.477668586,0.058740659,0.380600488,0.568145779,0.414183552,0.529898479,0.437598682,0.510072177
POC (%),0.579033444,Acorn,0.624420756,0.068908736,0.513104864,0.735023329,0.554574769,0.686423125,0.574853358,0.659479731
POC (%),0.579033444,Seedbank,0.638190118,0.067236214,0.5313788,0.74475644,0.57492227,0.702042707,0.593068222,0.67270052
POC (%),0.579033444,Reference,0.583698183,0.06532559,0.470190174,0.680009819,0.514489547,0.639590954,0.533247484,0.612856147
MAOC (%),3.317744333,Balled-and-burlapped,2.692088132,0.174336817,2.421313434,2.990065024,2.527574467,2.871837688,2.598837252,2.817892131
MAOC (%),3.317744333,Bareroot,2.810593241,0.176047682,2.495153211,3.069072916,2.643112327,2.99683321,2.710714178,2.940830823
MAOC (%),3.317744333,Seedling,2.984497926,0.185697626,2.707430782,3.29940538,2.790623742,3.157003867,2.845054245,3.07600087
MAOC (%),3.317744333,Acorn,3.656482551,0.202423752,3.322105685,3.967860904,3.44803752,3.852499407,3.496357927,3.757542429
MAOC (%),3.317744333,Seedbank,3.766267109,0.212350696,3.429272482,4.072007554,3.541299798,3.937382389,3.635648263,3.884002268
MAOC (%),3.317744333,Reference,3.960649532,0.208943289,3.61076382,4.291190217,3.772644198,4.176648515,3.835225119,4.090401512
TC (%),4.265777778,Balled-and-burlapped,3.952928078,0.176822675,3.664483975,4.249069753,3.770718351,4.114297601,3.8563862,4.078203722
TC (%),4.265777778,Bareroot,4.084080357,0.176761067,3.793175485,4.364465049,3.888165013,4.247413788,3.998845231,4.226842656
TC (%),4.265777778,Seedling,4.125861115,0.181221706,3.821318527,4.421040728,3.92489668,4.289837774,4.021176523,4.249609801
TC (%),4.265777778,Acorn,4.432180727,0.181390175,4.122534018,4.718757518,4.270932413,4.631560847,4.317760337,4.54834544
TC (%),4.265777778,Seedbank,4.410262326,0.180472036,4.11857499,4.703520295,4.227932222,4.596478778,4.291686491,4.525967775
TC (%),4.265777778,Reference,4.556848932,0.180873681,4.24257335,4.818113817,4.372621117,4.728956321,4.436561002,4.665656845
TN (%),0.250444444,Balled-and-burlapped,0.279411124,0.024971693,0.238116492,0.318067339,0.252790395,0.300218372,0.261598822,0.291632987
TN (%),0.250444444,Bareroot,0.295340172,0.026139148,0.253019894,0.335726593,0.269787798,0.320779868,0.274460737,0.307555364
TN (%),0.250444444,Seedling,0.249902946,0.021521842,0.214111973,0.28415422,0.224101286,0.267794131,0.233669195,0.261307145
TN (%),0.250444444,Acorn,0.281711681,0.025278019,0.240541208,0.321227347,0.253875253,0.301549481,0.263199557,0.293282737
