"WAIC","SE","dWAIC","dSE","pWAIC","weight","y.var","x.var","model","coef"
-30.7316959082747,34.0496408589662,0,NA,5.82407874310434,0.122222768836162,"toc","c.models[[c]][[""no3""]]","no3",0
-30.480145886962,34.7610771042268,0.251550021312703,1.44205982350397,5.28164128561228,0.107777653716848,"toc","c.models[[c]][[""ph""]]","ph",0
-29.8397205346735,36.7506945188201,0.891975373601142,3.7251396271648,6.22272975531839,0.0782459966379823,"toc","c.models[[c]][[""poc_maoc""]]","poc_maoc",0
-29.8288284909473,36.0504373134346,0.902867417327347,2.55774263472385,5.51310719630574,0.077821025481054,"toc","c.models[[c]][[""silt""]]","silt",0
-29.6092775748153,35.3267301856731,1.12241833345938,2.21534883971436,5.76128381522692,0.0697303867078584,"toc","c.models[[c]][[""Fine.woody.debris""]]","Fine.woody.debris",0
-29.5295024172574,35.9138903380166,1.20219349101728,2.48847990107475,6.02994729592453,0.0670037513570618,"toc","c.models[[c]][[""p""]]","p",0
-29.351206651391,35.2550712391739,1.38048925688366,1.45011424816908,6.05390003720976,0.0612890210714738,"toc","c.models[[c]][[""sand""]]","sand",0
-29.277267580643,35.535266687914,1.45442832763162,1.87179202522937,5.69728697640135,0.059064566318,"toc","c.models[[c]][[""Herbaceous.litter""]]","Herbaceous.litter",0
-29.2164142245197,35.3031320732777,1.51528168375494,1.54049308563661,5.79923779292691,0.0572944930549501,"toc","c.models[[c]][[""mwd""]]","mwd",0
-29.059919702794,35.5749522084308,1.67177620548068,1.64022873632972,5.96177406372702,0.0529822658521564,"toc","c.models[[c]][[""bulk.cn""]]","bulk.cn",0
-29.0106355031471,35.9974397999728,1.72106040512755,2.40422841936654,5.90954105603868,0.0516926265371684,"toc","c.models[[c]][[""bulk.density""]]","bulk.density",0
-28.8341356907751,35.1768814968599,1.89756021749956,1.26944167767828,6.59777366745504,0.0473262563956162,"toc","c.models[[c]][[""gravimetric.moisture""]]","gravimetric.moisture",0
-28.3571609538723,36.1461801226964,2.37453495440237,2.44909698512664,6.64505246785005,0.0372845069292381,"toc","c.models[[c]][[""cec""]]","cec",0
-28.1994442099102,36.371105053826,2.5322516983645,2.65227459806909,6.43940270409216,0.034457252732744,"toc","c.models[[c]][[""nh4""]]","nh4",0
-27.8111271800292,36.331859484489,2.92056872824541,2.51056110947461,6.70769588659254,0.0283764901185364,"toc","c.models[[c]][[""temperature""]]","temperature",0
-27.5221026646209,36.5845233308376,3.20959324365376,2.76214638484149,6.79507097604742,0.0245582717399707,"toc","c.models[[c]][[""clay""]]","clay",0
-27.3798903920132,38.2131949312791,3.35180551626151,4.58393348265693,7.06458008748455,0.0228726665131793,"toc","c.models[[c]][[""bulk.n""]]","bulk.n",0
