variable,variable.label,variable.mean,treatment,posterior.mean,posterior.sd,5,95,25,75
temperature,Temperature (C),16.69666667,Acorn,17.38092572,0.444838847,16.63731308,18.09777493,17.06517264,17.60139216
temperature,Temperature (C),16.69666667,Seedbank,17.05454614,0.426930744,16.3221764,17.70543047,16.78246814,17.32904506
temperature,Temperature (C),16.69666667,Reference,16.79011353,0.433838836,16.0559452,17.46482571,16.50503521,17.05759568
gravimetric.moisture,Gravitational moisture (%),27.87420834,Balled-and-burlapped,27.00391203,1.356541942,24.86354884,29.21300331,26.02301735,27.70366706
gravimetric.moisture,Gravitational moisture (%),27.87420834,Bareroot,25.63544666,1.240295649,23.50985815,27.65032271,24.72497408,26.29731201
gravimetric.moisture,Gravitational moisture (%),27.87420834,Seedling,25.44897411,1.295500802,23.20616159,27.41495121,24.50908412,26.15200679
gravimetric.moisture,Gravitational moisture (%),27.87420834,Acorn,30.45452207,1.460411783,28.03097277,32.77843498,29.71603589,31.5122333
gravimetric.moisture,Gravitational moisture (%),27.87420834,Seedbank,28.75556611,1.364660317,26.43465739,30.90069974,27.94106021,29.66219766
gravimetric.moisture,Gravitational moisture (%),27.87420834,Reference,29.72323805,1.37465302,27.57288133,32.12150775,28.73457867,30.4529244
bulk.density,Bulk density (g/cm3),0.877572124,Balled-and-burlapped,0.952448059,0.028444032,0.90608919,0.996673411,0.93054445,0.967119383
bulk.density,Bulk density (g/cm3),0.877572124,Bareroot,0.855909732,0.028143977,0.810860918,0.901337206,0.837641115,0.872041483
bulk.density,Bulk density (g/cm3),0.877572124,Seedling,0.859729449,0.02671317,0.813707809,0.899949855,0.845022999,0.878613534
bulk.density,Bulk density (g/cm3),0.877572124,Acorn,0.774276627,0.026550126,0.728351051,0.814798746,0.761050066,0.794858845
bulk.density,Bulk density (g/cm3),0.877572124,Seedbank,0.885845819,0.027528359,0.844616472,0.931800788,0.865986868,0.901436449
bulk.density,Bulk density (g/cm3),0.877572124,Reference,0.933429271,0.028030784,0.890580097,0.98230136,0.914595275,0.950145514
sand,Sand (%),40.73333333,Balled-and-burlapped,38.03535806,1.879345523,35.05820773,41.06614289,36.91022297,39.20666109
sand,Sand (%),40.73333333,Bareroot,39.35024334,1.7991525,36.37951196,42.25347327,38.17306866,40.4748688
sand,Sand (%),40.73333333,Seedling,40.11039338,1.898808653,36.90300773,43.12257139,38.78338596,41.12468947
sand,Sand (%),40.73333333,Acorn,40.04728237,1.97257537,36.76200203,43.11380115,38.60036213,41.06527353
sand,Sand (%),40.73333333,Seedbank,41.02335348,1.96939874,37.87275007,44.26843337,39.82988692,42.31477256
sand,Sand (%),40.73333333,Reference,45.51586262,2.146786486,42.20445812,49.21383377,44.48548508,47.06599464
silt,Silt (%),42.11111111,Balled-and-burlapped,44.59813619,2.359713874,40.77809409,48.4007654,43.07994294,45.95016905
silt,Silt (%),42.11111111,Bareroot,42.61853174,2.170478368,39.11546948,46.01221606,40.7903987,43.46255782
silt,Silt (%),42.11111111,Seedling,43.14212087,2.28691846,39.45441788,46.74179011,41.793684,44.68715176
silt,Silt (%),42.11111111,Acorn,42.54531357,2.256100128,38.71641335,46.1236774,41.03245044,43.82792309
silt,Silt (%),42.11111111,Seedbank,41.54510248,2.16729037,37.93846965,44.89043431,39.80172797,42.54654392
