Genus,Family
Acer,Sapindaceae
Betula,Betulaceae
Carya,Juglandaceae
Fraxinus,Oleaceae
Platanus,Platanaceae
Quercus,Fagaceae
Salix,Salicaceae
Populus,Salicaceae
Ulmus,Ulmaceae
Celtis,Cannabaceae
Morus,Moraceae
Gleditsia,Fabaceae
