Boat number,Size class,Sample number,Mass of boat (g),Mass of boat + sample (g),Mass of sample (g),Sieve date,Start dry time,All water evaporated time,Removed from oven time,Notes
52-1,fPOM,E3 Q5,13.54,13.58,0.04,6/30/2023,7/5/2023 11:55,7/6/2023 10:00,7/7/2023 11:00,
53-1,Full,D2 Q5,15.77,116.13,100.36,6/30/2023,,,,
54-1,>4.75 mm,D2 Q5,13.62,21.54,7.92,6/30/2023,7/5/2023 11:55,7/6/2023 16:15,7/7/2023 16:15,
55-1,>2 mm,D2 Q5,13.44,32.94,19.5,6/30/2023,7/5/2023 11:55,7/11/2023 12:30,7/12/2023 12:40,
56-1,>250 um,D2 Q5,15.87,62.93,47.06,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:00,
57-1,>53 um,D2 Q5,13.56,19.84,6.28,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:30,
58-1,fPOM,D2 Q5,13.53,13.58,0.05,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:00,
59-1,Full,E2 Q4,13.63,114.18,100.55,6/30/2023,,,,
60-1,>4.75 mm,E2 Q4,13.61,22.27,8.66,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:00,
61-1,>2 mm,E2 Q4,13.55,36.34,22.79,6/30/2023,7/5/2023 11:55,7/12/2023 12:30,7/13/2023 13:00,
62-1,>250 um,E2 Q4,13.53,59.22,45.69,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:30,
63-1,>53 um,E2 Q4,13.56,18.86,5.3,6/30/2023,7/5/2023 11:55,7/6/2023 16:15,7/7/2023 16:15,
64-1,fPOM,E2 Q4,13.55,13.64,0.09,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:00,
65-1,Full,B3 Q5,13.62,113.8,100.18,6/30/2023,,,,
66-1,fPOM,B3 Q5,13.24,13.65,0.41,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:00,
67-1,>4.75 mm,B3 Q5,13.59,23.44,9.85,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:30,
68-1,>2 mm,B3 Q5,13.51,35.14,21.63,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:30,
69-1,>250 um,B3 Q5,13.47,57.93,44.46,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:30,
70-1,>53 um,B3 Q5,13.37,20.14,6.77,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:30,
71-1,Full,C3 Q3,13.53,113.6,100.07,6/30/2023,,,,
72-1,fPOM,C3 Q3,13.49,13.71,0.22,6/30/2023,7/5/2023 11:55,7/7/2023 11:00,7/10/2023 11:00,
73-1,>4.75 mm,C3 Q3,13.45,22.18,8.73,6/30/2023,7/5/2023 11:55,7/6/2023 16:15,7/7/2023 16:15,
74-1,>2 mm,C3 Q3,13.53,38.55,25.02,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:30,
75-1,>250 um,C3 Q3,13.53,57.76,44.23,6/30/2023,7/5/2023 11:55,7/10/2023 11:00,7/11/2023 12:30,
76-1,>53 um,C3 Q3,13.45,18.95,5.5,6/30/2023,7/5/2023 11:55,7/7/2023 11:00,7/10/2023 11:00,
77-1,Full,B1 Q4,13.27,13.55,0.28,7/3/2023,,,,
78-1,fPOM,B1 Q4,13.59,13.94,0.35,7/3/2023,7/5/2023 11:55,7/11/2023 12:30,7/12/2023 12:40,
79-1,>4.75 mm,B1 Q4,13.37,22.54,9.17,7/3/2023,7/10/2023 12:05,7/14/2023 12:45,7/15/2023 16:00,
80-1,>2 mm,B1 Q4,13.21,33.78,20.57,7/3/2023,7/10/2023 12:05,7/16/2023 16:30,7/17/2023 16:30,
81-1,>250 um,B1 Q4,13.65,59.67,46.02,7/3/2023,7/10/2023 12:05,7/14/2023 12:45,7/15/2023 16:00,
82-1,>53 um,B1 Q4,13.5,19.47,5.97,7/3/2023,7/10/2023 12:05,7/11/2023 12:30,7/12/2023 12:40,
83-1,Full,D2 Q2,13.29,113.38,100.09,7/3/2023,,,,
84-1,fPOM,D2 Q2,13.5,13.58,0.08,7/3/2023,7/10/2023 12:05,7/12/2023 10:30,7/13/2023 13:00,
85-1,>4.75 mm,D2 Q2,13.44,20.01,6.57,7/3/2023,7/11/2023 13:30,7/12/2023 10:30,7/13/2023 13:00,
86-1,>2 mm,D2 Q2,13.38,29.67,16.29,7/3/2023,7/7/2023 16:15,7/12/2023 10:30,7/13/2023 13:00,
87-1,>250 um,D2 Q2,13.62,57.11,43.49,7/3/2023,7/7/2023 16:15,7/11/2023 12:00,7/12/2023 12:40,
88-1,>53 um,D2 Q2,13.42,26.92,13.5,7/3/2023,7/7/2023 16:15,7/10/2023 11:00,7/11/2023 12:00,
2-Jan,Full,A3 Q1,13.43,113.44,100.01,7/6/2023,,,,
1.5-2,fPOM,A3 Q1,16.18,16.36,0.18,7/6/2023,7/7/2023 16:15,7/11/2023 12:30,7/12/2023 12:40,
2-Feb,>4.75 mm,A3 Q1,13.48,15.69,2.21,7/6/2023,7/7/2023 16:15,7/10/2023 11:00,7/11/2023 12:00,
2-Mar,>2 mm,A3 Q1,13.49,31.21,17.72,7/6/2023,7/7/2023 16:15,7/10/2023 11:00,7/11/2023 12:00,
2-Apr,>250 um,A3 Q1,13.33,70.77,57.44,7/6/2023,7/11/2023 13:30,7/14/2023 12:45,7/15/2023 16:00,
2-May,>53 um,A3 Q1,13.54,22.22,8.68,7/6/2023,7/11/2023 15:00,7/12/2023 12:30,7/13/2023 12:55,
2-Jun,Full,A2 Q2,13.46,113.48,100.02,7/6/2023,,,,
6.5-2,fPOM,A2 Q2,15.75,16.02,0.27,7/6/2023,7/11/2023 15:00,7/16/2023 16:30,7/17/2023 16:30,
2-Jul,>4.75 mm,A2 Q2,13.3,22.78,9.48,7/6/2023,7/12/2023 13:30,7/15/2023 16:00,7/16/2023 16:00,
2-Aug,>2 mm,A2 Q2,13.38,34.29,20.91,7/6/2023,7/12/2023 13:30,7/17/2023 16:30,7/18/2023 16:00,
