Boat number,Size class,Sample number,Mass of boat (g),Mass of boat + sample (g),Mass of sample (g),Sieve date,Start dry time,All water evaporated time,Removed from oven time,Notes
101-2,Full,E1 Q2,13.12,113.46,100.34,7/15/2023,,,,
101.5-2,fPOM,E1 Q2,13.19,13.29,0.1,7/15/2023,7/27/2023 16:15,7/27/2023 16:15,7/28/2023 16:30,
102-2,>4.75 mm,E1 Q2,13.18,27.01,13.83,7/15/2023,7/26/2023 15:35,7/26/2023 15:35,7/27/2023 15:45,
103-2,>2 mm,E1 Q2,13.28,42.9,29.62,7/15/2023,7/27/2023 16:15,7/27/2023 16:15,7/28/2023 16:30,
104-2,>250 um,E1 Q2,13.3,53.69,40.39,7/15/2023,7/27/2023 16:15,7/27/2023 16:15,7/28/2023 16:30,
105-2,>53 um,E1 Q2,13.26,17.46,4.2,7/15/2023,7/27/2023 16:15,7/27/2023 16:15,7/28/2023 16:30,
106-2,Full,D3 Q3,11.99,112.06,100.07,7/15/2023,,,,
106.5-2,fPOM,D3 Q3,11.98,12.03,0.05,7/15/2023,7/26/2023 15:35,7/26/2023 15:35,7/27/2023 16:00,
107-2,>4.75 mm,D3 Q3,11.97,19,7.03,7/15/2023,7/27/2023 16:15,7/27/2023 16:15,7/28/2023 16:30,
108-2,>2 mm,D3 Q3,11.98,39.75,27.77,7/15/2023,7/27/2023 16:15,7/27/2023 16:15,7/28/2023 16:30,
109-2,>250 um,D3 Q3,11.96,59.76,47.8,7/15/2023,7/27/2023 16:15,7/27/2023 16:15,7/28/2023 16:30,
110-2,>53 um,D3 Q3,11.99,17.64,5.65,7/15/2023,7/27/2023 16:15,7/27/2023 16:15,7/28/2023 16:30,
111-2,Full,D1 Q3,11.99,112.45,100.46,7/15/2023,,,,
111.5-2,fPOM,D1 Q3,12,12.31,0.31,7/15/2023,7/26/2023 15:35,7/26/2023 15:35,7/27/2023 16:00,
112-2,>4.75 mm,D1 Q3,11.97,22.63,10.66,7/15/2023,7/26/2023 15:35,7/26/2023 15:35,7/27/2023 16:00,
113-2,>2 mm,D1 Q3,12.02,40.34,28.32,7/15/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
114-2,>250 um,D1 Q3,12.08,58.36,46.28,7/15/2023,7/27/2023 16:15,7/27/2023 16:15,7/28/2023 16:30,
115-2,>53 um,D1 Q3,12.07,17.88,5.81,7/15/2023,7/27/2023 16:15,7/27/2023 16:15,7/28/2023 16:30,
116-2,Full,E1 Q3,12.06,112.1,100.04,7/15/2023,,,,
116.5-2,fPOM,E1 Q3,11.96,12.08,0.12,7/15/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
117-2,>4.75 mm,E1 Q3,11.97,32.12,20.15,7/15/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
118-2,>2 mm,E1 Q3,12.07,44.07,32,7/15/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
119-2,>250 um,E1 Q3,12.12,43.85,31.73,7/15/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
120-2,>53 um,E1 Q3,12.01,17.05,5.04,7/15/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
121-2,Full,C3 Q4,14.93,114.97,100.04,7/15/2023,,,,
121.5-2,fPOM,C3 Q4,14.82,15.25,0.43,7/15/2023,8/5/2023 20:00,8/5/2023 20:00,8/11/2023 10:00,
122-2,>4.75 mm,C3 Q4,14.92,22.27,7.35,7/15/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
123-2,>2 mm,C3 Q4,14.95,40.42,25.47,7/15/2023,8/5/2023 20:00,8/5/2023 20:00,8/11/2023 10:00,
124-2,>250 um,C3 Q4,14.88,64.84,49.96,7/15/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
125-2,>53 um,C3 Q4,14.94,22.44,7.5,7/15/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
126-2,Full,R3 Q5,14.95,115.07,100.12,7/15/2023,,,,
126.5-2,fPOM,R3 Q5,14.91,15.14,0.23,7/15/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
127-2,>4.75 mm,R3 Q5,14.9,17.71,2.81,7/15/2023,7/27/2023 16:15,7/27/2023 16:15,7/28/2023 16:30,
128-2,>2 mm,R3 Q5,14.85,36.89,22.04,7/15/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
129-2,>250 um,R3 Q5,14.87,66.59,51.72,7/15/2023,7/27/2023 16:15,7/27/2023 16:15,7/28/2023 16:30,
130-2,>53 um,R3 Q5,14.9,25.93,11.03,7/15/2023,7/27/2023 16:15,7/27/2023 16:15,7/28/2023 16:30,
131-2,Full,A3 Q5,11.99,112.25,100.26,7/15/2023,,,,
131.5-2,fPOM,A3 Q5,11.99,12.09,0.1,7/15/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
132-2,>4.75 mm,A3 Q5,12.09,21.16,9.07,7/15/2023,7/27/2023 16:15,7/27/2023 16:15,7/28/2023 16:30,
133-2,>2 mm,A3 Q5,11.98,48.37,36.39,7/15/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
134-2,>250 um,A3 Q5,12.1,54.22,42.12,7/15/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
135-2,>53 um,A3 Q5,12,14.75,2.75,7/15/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
136-2,Full,D3 Q4,14.98,115.05,100.07,7/15/2023,,,,
136.5-2,fPOM,D3 Q4,14.91,15.05,0.14,7/15/2023,8/5/2023 20:00,8/5/2023 20:00,8/11/2023 10:00,
137-2,>4.75 mm,D3 Q4,15.01,23.01,8,7/15/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
138-2,>2 mm,D3 Q4,11.96,38.84,26.88,7/15/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
139-2,>250 um,D3 Q4,12.01,57.82,45.81,7/15/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
140-2,>53 um,D3 Q4,12.03,18.88,6.85,7/15/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
141-2,Full,R3 Q4,13.22,113.23,100.01,7/17/2023,,,,
141.5-2,fPOM,R3 Q4,13.33,13.61,0.28,7/17/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
142-2,>4.75 mm,R3 Q4,13.39,22.58,9.19,7/17/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
143-2,>2 mm,R3 Q4,13.46,49.54,36.08,7/17/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
144-2,>250 um,R3 Q4,13.59,56.53,42.94,7/17/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
145-2,>53 um,R3 Q4,13.34,16.6,3.26,7/17/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
3-Jan,Full,R2 Q3,13.4,113.44,100.04,7/17/2023,,,,
1.5-3,fPOM,R2 Q3,16.1,16.24,0.14,7/17/2023,8/15/2023 13:35,8/15/2023 13:35,8/21/2023 8:20,
3-Feb,>4.75 mm,R2 Q3,13.44,16.9,3.46,7/17/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
3-Mar,>2 mm,R2 Q3,13.32,38.11,24.79,7/17/2023,8/11/2023 10:30,8/11/2023 10:30,8/13/2023 13:00,
3-Apr,>250 um,R2 Q3,13.32,66.68,53.36,7/17/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
3-May,>53 um,R2 Q3,13.53,21.15,7.62,7/17/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
3-Jun,Full,A3 Q2,13.44,113.55,100.11,7/17/2023,,,,
6.5-3,fPOM,A3 Q2,13.22,13.3,0.08,7/17/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
3-Jul,>4.75 mm,A3 Q2,13.3,23.46,10.16,7/17/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
3-Aug,>2 mm,A3 Q2,13.54,43.89,30.35,7/17/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
3-Sep,>250 um,A3 Q2,13.38,59.48,46.1,7/17/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 11:30,
3-Oct,>53 um,A3 Q2,13.32,18.86,5.54,7/17/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 11:30,
3-Nov,Full,C3 Q2,13.32,113.62,100.3,7/17/2023,,,,
11.5-3,fPOM,C3 Q2,13.53,13.76,0.23,7/17/2023,8/11/2023 10:30,8/11/2023 10:30,8/13/2023 13:00,
3-Dec,>4.75 mm,C3 Q2,13.27,19.91,6.64,7/17/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 11:30,
13-3,>2 mm,C3 Q2,13.33,35.31,21.98,7/17/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
14-3,>250 um,C3 Q2,13.36,66.26,52.9,7/17/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 11:30,
15-3,>53 um,C3 Q2,13.39,21.73,8.34,7/17/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 11:30,
16-3,Full,A1 Q5,13.33,113.45,100.12,7/18/2023,,,,
16.5-3,fPOM,A1 Q5,13.56,13.78,0.22,7/18/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 11:30,
17-3,>4.75 mm,A1 Q5,13.29,15.86,2.57,7/18/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
18-3,>2 mm,A1 Q5,13.35,34.34,20.99,7/18/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
19-3,>250 um,A1 Q5,13.31,65.74,52.43,7/18/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 10:30,
20-3,>53 um,A1 Q5,13.28,25.36,12.08,7/18/2023,7/28/2023 16:30,7/28/2023 16:30,8/3/2023 11:30,
21-3,Full,E3 Q1,13.28,113.53,100.25,7/18/2023,,,,
21.5-3,fPOM,E3 Q1,13.51,13.67,0.16,7/18/2023,8/11/2023 10:30,8/11/2023 10:30,8/13/2023 13:00,
22-3,>4.75 mm,E3 Q1,16.28,25.56,9.28,7/18/2023,8/11/2023 10:30,8/11/2023 10:30,8/13/2023 13:00,
23-3,>2 mm,E3 Q1,13.93,38.59,24.66,7/18/2023,8/15/2023 13:35,8/15/2023 13:35,8/21/2023 8:20,
24-3,>250 um,E3 Q1,13.27,61.05,47.78,7/18/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
25-3,>53 um,E3 Q1,13.37,21.42,8.05,7/18/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
26-3,Full,A3 Q3,16.36,116.95,100.59,7/19/2023,,,,
26.5-3,fPOM,A3 Q3,13.29,13.36,0.07,7/19/2023,8/15/2023 13:35,8/15/2023 13:35,8/21/2023 8:20,
27-3,>4.75 mm,A3 Q3,13.33,17,3.67,7/19/2023,8/11/2023 10:30,8/11/2023 10:30,8/13/2023 13:00,
28-3,>2 mm,A3 Q3,16.03,35,18.97,7/19/2023,8/15/2023 13:35,8/15/2023 13:35,8/21/2023 8:20,
29-3,>250 um,A3 Q3,16.18,71.75,55.57,7/19/2023,8/11/2023 10:30,8/11/2023 10:30,8/13/2023 13:00,
30-3,>53 um,A3 Q3,13.3,24.18,10.88,7/19/2023,8/5/2023 20:00,8/5/2023 20:00,8/11/2023 10:00,
31-3,Full,D1 Q2,16.14,116.46,100.32,7/19/2023,,,,
31.5-3,fPOM,D1 Q2,13.32,13.36,0.04,7/19/2023,8/11/2023 10:30,8/11/2023 10:30,8/13/2023 13:00,
32-3,>4.75 mm,D1 Q2,16.19,27.42,11.23,7/19/2023,8/11/2023 10:30,8/11/2023 10:30,8/13/2023 13:00,
33-3,>2 mm,D1 Q2,16.24,45.59,29.35,7/19/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
34-3,>250 um,D1 Q2,16.13,62.49,46.36,7/19/2023,8/11/2023 10:30,8/11/2023 10:30,8/13/2023 13:00,
35-3,>53 um,D1 Q2,16.24,21.39,5.15,7/19/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
36-3,Full,C1 Q2,13.39,113.58,100.19,7/20/2023,,,,
36.5-3,fPOM,C1 Q2,13.37,13.6,0.23,7/20/2023,8/21/2023 9:00,8/21/2023 9:00,8/23/2023 9:10,
37-3,>4.75 mm,C1 Q2,15.96,18.91,2.95,7/20/2023,8/5/2023 20:00,8/5/2023 20:00,8/11/2023 10:00,
38-3,>2 mm,C1 Q2,13.21,42.13,28.92,7/20/2023,8/21/2023 9:00,8/21/2023 9:00,8/23/2023 9:10,
39-3,>250 um,C1 Q2,16.2,67.24,51.04,7/20/2023,8/23/2023 9:35,8/23/2023 9:35,8/25/2023 9:35,
40-3,>53 um,C1 Q2,12.03,19.96,7.93,7/20/2023,8/5/2023 20:00,8/5/2023 20:00,8/11/2023 10:00,
41-3,Full,R2 Q4,16.35,116.77,100.42,7/20/2023,,,,
41.5-3,fPOM,R2 Q4,15.04,15.58,0.54,7/20/2023,8/31/2023 12:40,8/31/2023 12:40,9/4/2023 9:20,
42-3,>4.75 mm,R2 Q4,16.41,21.09,4.68,7/20/2023,8/5/2023 20:00,8/5/2023 20:00,8/11/2023 10:00,
43-3,>2 mm,R2 Q4,15,34.84,19.84,7/20/2023,9/6/2023 10:35,9/6/2023 10:35,9/8/2023 10:35,
44-3,>250 um,R2 Q4,16.16,74.23,58.07,7/20/2023,8/23/2023 9:35,8/23/2023 9:35,8/25/2023 9:35,
45-3,>53 um,R2 Q4,15.01,23.54,8.53,7/20/2023,8/5/2023 20:00,8/5/2023 20:00,8/11/2023 10:00,
46-3,Full,E1 Q5,13.37,113.39,100.02,7/21/2023,,,,
46.5-3,fPOM,E1 Q5,12.11,12.85,0.74,7/21/2023,8/13/2023 13:40,8/13/2023 13:40,8/15/2023 13:10,
47-3,>4.75 mm,E1 Q5,16.18,21.04,4.86,7/21/2023,8/5/2023 20:00,8/5/2023 20:00,8/11/2023 10:00,
48-3,>2 mm,E1 Q5,12.06,47.06,35,7/21/2023,8/13/2023 13:40,8/13/2023 13:40,8/15/2023 13:10,
49-3,>250 um,E1 Q5,13.26,60.02,46.76,7/21/2023,8/5/2023 20:00,8/5/2023 20:00,8/11/2023 10:00,
50-3,>53 um,E1 Q5,13.22,18.26,5.04,7/21/2023,8/13/2023 13:40,8/13/2023 13:40,8/15/2023 13:10,
51-3,Full,A3 Q4,13.55,113.61,100.06,7/21/2023,,,,
51.5-3,fPOM,A3 Q4,13.26,13.51,0.25,7/21/2023,8/31/2023 12:40,8/31/2023 12:40,9/4/2023 9:20,
52-3,>4.75 mm,A3 Q4,13.34,17.02,3.68,7/21/2023,8/21/2023 9:00,8/21/2023 9:00,8/23/2023 9:10,
53-3,>2 mm,A3 Q4,14.97,33.24,18.27,7/21/2023,8/29/2023 12:10,8/29/2023 12:10,8/31/2023 12:20,
54-3,>250 um,A3 Q4,13.16,73,59.84,7/21/2023,8/23/2023 9:35,8/23/2023 9:35,8/25/2023 9:35,
55-3,>53 um,A3 Q4,12.03,22.12,10.09,7/21/2023,8/21/2023 9:00,8/21/2023 9:00,8/23/2023 9:10,
56-3,Full,A1 Q2,13.49,113.52,100.03,7/21/2023,,,,
56.5-3,fPOM,A1 Q2,14.97,15.06,0.09,7/21/2023,8/11/2023 10:30,8/11/2023 10:30,8/13/2023 13:00,
57-3,>4.75 mm,A1 Q2,13.52,23.53,10.01,7/21/2023,8/11/2023 10:30,8/11/2023 10:30,8/13/2023 13:00,
58-3,>2 mm,A1 Q2,13.2,44.11,30.91,7/21/2023,8/11/2023 10:30,8/11/2023 10:30,8/13/2023 13:00,
59-3,>250 um,A1 Q2,13.68,56.07,42.39,7/21/2023,8/11/2023 10:30,8/11/2023 10:30,8/13/2023 13:00,
60-3,>53 um,A1 Q2,13.16,21.4,8.24,7/21/2023,8/11/2023 10:30,8/11/2023 10:30,8/13/2023 13:00,
61-3,Full,D1 Q5,13.4,113.43,100.03,7/21/2023,,,,
61.5-3,fPOM,D1 Q5,13.28,13.43,0.15,7/21/2023,8/13/2023 13:40,8/13/2023 13:40,8/15/2023 13:10,
62-3,>4.75 mm,D1 Q5,13.27,27.6,14.33,7/21/2023,8/13/2023 13:40,8/13/2023 13:40,8/15/2023 13:10,
63-3,>2 mm,D1 Q5,13.26,42.68,29.42,7/21/2023,8/13/2023 13:40,8/13/2023 13:40,8/15/2023 13:10,
64-3,>250 um,D1 Q5,13.34,59.05,45.71,7/21/2023,8/13/2023 13:40,8/13/2023 13:40,8/15/2023 13:10,
65-3,>53 um,D1 Q5,13.33,17.97,4.64,7/21/2023,8/13/2023 13:40,8/13/2023 13:40,8/15/2023 13:10,
66-3,Full,A2 Q5,13.37,113.61,100.24,7/21/2023,,,,
66.5-3,fPOM,A2 Q5,13.17,13.3,0.13,7/21/2023,8/13/2023 13:40,8/13/2023 13:40,8/15/2023 13:10,
67-3,>4.75 mm,A2 Q5,16.25,21.29,5.04,7/21/2023,8/13/2023 13:40,8/13/2023 13:40,8/15/2023 13:10,
68-3,>2 mm,A2 Q5,16.13,36.76,20.63,7/21/2023,8/13/2023 13:40,8/13/2023 13:40,8/15/2023 13:10,
69-3,>250 um,A2 Q5,13.4,71.61,58.21,7/21/2023,8/13/2023 13:40,8/13/2023 13:40,8/15/2023 13:10,
70-3,>53 um,A2 Q5,16.37,24.98,8.61,7/21/2023,8/13/2023 13:40,8/13/2023 13:40,8/15/2023 13:10,
71-3,Full,R3 Q1,15.95,115.97,100.02,7/21/2023,,,,
71.5-3,fPOM,R3 Q1,13.53,13.99,0.46,7/21/2023,8/23/2023 9:35,8/23/2023 9:35,8/25/2023 9:35,
72-3,>4.75 mm,R3 Q1,13.37,20.11,6.74,7/21/2023,8/13/2023 13:40,8/13/2023 13:40,8/15/2023 13:10,
73-3,>2 mm,R3 Q1,13.46,41.79,28.33,7/21/2023,8/13/2023 13:40,8/13/2023 13:40,8/15/2023 13:10,
74-3,>250 um,R3 Q1,13.4,62.54,49.14,7/21/2023,8/13/2023 13:40,8/13/2023 13:40,8/15/2023 13:10,
75-5,>53 um,R3 Q1,13.42,20.99,7.57,7/21/2023,8/13/2023 13:40,8/13/2023 13:40,8/15/2023 13:10,
76-3,Full,C1 Q3,13.43,113.76,100.33,7/24/2023,,,,
76.5-3,fPOM,C1 Q3,13.47,13.63,0.16,7/24/2023,8/15/2023 13:35,8/15/2023 13:35,8/21/2023 8:20,
77-3,>4.75 mm,C1 Q3,15.87,28.31,12.44,7/24/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
78-3,>2 mm,C1 Q3,16.13,44.95,28.82,7/24/2023,8/21/2023 9:00,8/21/2023 9:00,8/23/2023 9:10,
79-3,>250 um,C1 Q3,16.14,63.29,47.15,7/24/2023,8/5/2023 20:00,8/5/2023 20:00,8/11/2023 10:00,
80-3,>53 um,C1 Q3,13.46,18.93,5.47,7/24/2023,8/15/2023 13:35,8/15/2023 13:35,8/21/2023 8:20,
81-3,Full,C1 Q1,16.17,116.25,100.08,7/25/2023,,,,
81.5-3,fPOM,C1 Q1,13.48,14.11,0.63,7/25/2023,8/21/2023 9:00,8/21/2023 9:00,8/23/2023 9:10,
82-3,>4.75 mm,C1 Q1,13.42,23.7,10.28,7/25/2023,8/5/2023 20:00,8/5/2023 20:00,8/11/2023 10:00,
83-3,>2 mm,C1 Q1,13.45,45.53,32.08,7/25/2023,8/21/2023 9:00,8/21/2023 9:00,8/23/2023 9:10,
84-3,>250 um,C1 Q1,13.5,58.42,44.92,7/25/2023,8/15/2023 13:35,8/15/2023 13:35,8/21/2023 8:20,
85-3,>53 um,C1 Q1,13.49,19.26,5.77,7/25/2023,8/15/2023 13:35,8/15/2023 13:35,8/21/2023 8:20,
86-3,Full,B2 Q5,13.36,113.39,100.03,7/26/2023,,,,
86.5-3,fPOM,B2 Q5,15.9,16.06,0.16,7/26/2023,8/15/2023 13:35,8/15/2023 13:35,8/21/2023 8:20,
87-3,>4.75 mm,B2 Q5,13.33,20.71,7.38,7/26/2023,8/13/2023 13:40,8/13/2023 13:40,8/15/2023 13:10,
88-3,>2 mm,B2 Q5,16.19,40.73,24.54,7/26/2023,8/25/2023 10:00,8/25/2023 10:00,8/27/2023 11:30,
89-3,>250 um,B2 Q5,13.3,65.45,52.15,7/26/2023,8/13/2023 13:40,8/13/2023 13:40,8/15/2023 13:10,
90-3,>53 um,B2 Q5,16.13,24.44,8.31,7/26/2023,8/13/2023 13:40,8/13/2023 13:40,8/15/2023 13:10,
91-3,Full,C2 Q5,13.33,113.71,100.38,7/27/2023,,,,
91.5-3,fPOM,C2 Q5,13.48,13.61,0.13,7/27/2023,9/4/2023 9:35,9/4/2023 9:35,9/6/2023 10:20,
92-3,>4.75 mm,C2 Q5,13.49,17.74,4.25,7/27/2023,8/23/2023 9:35,8/23/2023 9:35,8/25/2023 9:35,
93-3,>2 mm,C2 Q5,13.22,35.89,22.67,7/27/2023,8/31/2023 12:40,8/31/2023 12:40,9/4/2023 9:20,
94-3,>250 um,C2 Q5,13.38,66.83,53.45,7/27/2023,8/23/2023 9:35,8/23/2023 9:35,8/25/2023 9:35,
95-3,>53 um,C2 Q5,13.23,22.93,9.7,7/27/2023,8/23/2023 9:35,8/23/2023 9:35,8/25/2023 9:35,
96-3,Full,B2 Q3,13.37,113.56,100.19,7/27/2023,,,,
96.5-3,fPOM,B2 Q3,13.3,13.55,0.25,7/27/2023,9/4/2023 9:35,9/4/2023 9:35,9/6/2023 10:20,
97-3,>4.75 mm,B2 Q3,13.38,20.14,6.76,7/27/2023,8/23/2023 9:35,8/23/2023 9:35,8/25/2023 9:35,
98-3,>2 mm,B2 Q3,13.15,41.22,28.07,7/27/2023,9/4/2023 9:35,9/4/2023 9:35,9/6/2023 10:20,
99-3,>250 um,B2 Q3,13.23,63.78,50.55,7/27/2023,8/23/2023 9:35,8/23/2023 9:35,8/25/2023 9:35,
100-3,>53 um,B2 Q3,13.23,19.29,6.06,7/27/2023,8/23/2023 9:35,8/23/2023 9:35,8/25/2023 9:35,
101-3,Full,B1 Q5,13.42,113.52,100.1,7/27/2023,,,,
101.5-3,fPOM,B1 Q5,13.34,13.4,0.06,7/27/2023,8/27/2023 11:45,8/27/2023 11:45,8/29/2023 11:45,
102-3,>4.75 mm,B1 Q5,13.34,21.37,8.03,7/27/2023,8/23/2023 9:35,8/23/2023 9:35,8/25/2023 9:35,
103-3,>2 mm,B1 Q5,13.37,43.03,29.66,7/27/2023,8/27/2023 11:45,8/27/2023 11:45,8/29/2023 11:45,
104-3,>250 um,B1 Q5,13.38,60.12,46.74,7/27/2023,8/25/2023 10:00,8/25/2023 10:00,8/27/2023 11:30,leak when washing soil into tin container
105-3,>53 um,B1 Q5,13.33,19.81,6.48,7/27/2023,8/21/2023 9:00,8/21/2023 9:00,8/23/2023 9:10,
106-3,Full,C2 Q2,13.35,113.42,100.07,7/27/2023,,,,
106.5-3,fPOM,C2 Q2,13.45,13.99,0.54,7/27/2023,8/25/2023 10:00,8/25/2023 10:00,8/27/2023 11:30,
107-3,>4.75 mm,C2 Q2,13.37,24.74,11.37,7/27/2023,8/23/2023 9:35,8/23/2023 9:35,8/25/2023 9:35,
108-3,>2 mm,C2 Q2,13.29,52.63,39.34,7/27/2023,8/31/2023 12:40,8/31/2023 12:40,9/4/2023 9:20,
109-3,>250 um,C2 Q2,13.32,50.4,37.08,7/27/2023,8/11/2023 10:30,8/11/2023 10:30,8/13/2023 13:00,
110-3,>53 um,C2 Q2,13.36,17.78,4.42,7/27/2023,8/15/2023 13:35,8/15/2023 13:35,8/21/2023 8:20,
111-3,Full,D2 Q3,13.41,113.74,100.33,7/28/2023,,,,
111.5-3,fPOM,D2 Q3,13.36,13.64,0.28,7/28/2023,8/5/2023 20:00,8/5/2023 20:00,8/11/2023 10:00,
112-3,>4.75 mm,D2 Q3,13.38,20.39,7.01,7/28/2023,8/5/2023 20:00,8/5/2023 20:00,8/11/2023 10:00,
113-3,>2 mm,D2 Q3,13.07,41.74,28.67,7/28/2023,8/11/2023 10:30,8/11/2023 10:30,8/13/2023 13:00,
114-3,>250 um,D2 Q3,13.34,59.53,46.19,7/28/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
115-3,>53 um,D2 Q3,13.36,23.29,9.93,7/28/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
116-3,Full,C3 Q5,12.01,112.21,100.2,7/28/2023,,,,
116.5-3,fPOM,C3 Q5,13.06,13.65,0.59,7/28/2023,8/11/2023 10:30,8/11/2023 10:30,8/13/2023 13:00,
117-3,>4.75 mm,C3 Q5,14.91,20.15,5.24,7/28/2023,8/5/2023 20:00,8/5/2023 20:00,8/11/2023 10:00,
118-3,>2 mm,C3 Q5,12.17,34.21,22.04,7/28/2023,8/11/2023 10:30,8/11/2023 10:30,8/13/2023 13:00,
119-3,>250 um,C3 Q5,11.98,64.64,52.66,7/28/2023,8/5/2023 20:00,8/5/2023 20:00,8/11/2023 10:00,
120-3,>53 um,C3 Q5,13.3,22.93,9.63,7/28/2023,8/5/2023 20:00,8/5/2023 20:00,8/11/2023 10:00,
121-3,Full,C3 Q1,13.05,113.41,100.36,7/29/2023,,,,
121.5-3,fPOM,C3 Q1,11.95,12.28,0.33,7/29/2023,8/25/2023 10:00,8/25/2023 10:00,8/27/2023 11:30,
122-3,>4.75 mm,C3 Q1,13.26,19.16,5.9,7/29/2023,8/23/2023 9:35,8/23/2023 9:35,8/25/2023 9:35,
123-3,>2 mm,C3 Q1,13.11,41.19,28.08,7/29/2023,8/27/2023 11:45,8/27/2023 11:45,8/29/2023 11:45,
124-3,>250 um,C3 Q1,13.29,64.12,50.83,7/29/2023,8/23/2023 9:35,8/23/2023 9:35,8/25/2023 9:35,
125-3,>53 um,C3 Q1,13.17,20.01,6.84,7/29/2023,8/5/2023 20:00,8/5/2023 20:00,8/11/2023 10:00,
126-3,Full,B2 Q4,13.15,113.44,100.29,7/29/2023,,,,
126.5-3,fPOM,B2 Q4,13.22,13.47,0.25,7/29/2023,8/25/2023 10:00,8/25/2023 10:00,8/27/2023 11:30,
127-3,>4.75 mm,B2 Q4,13.14,21.88,8.74,7/29/2023,8/15/2023 13:35,8/15/2023 13:35,8/21/2023 8:20,
128-3,>2 mm,B2 Q4,11.96,39.44,27.48,7/29/2023,8/23/2023 9:35,8/23/2023 9:35,8/25/2023 9:35,
129-3,>250 um,B2 Q4,13.31,62.94,49.63,7/29/2023,8/5/2023 20:00,8/5/2023 20:00,8/11/2023 10:00,
130-3,>53 um,B2 Q4,12.04,18.75,6.71,7/29/2023,8/15/2023 13:35,8/15/2023 13:35,8/21/2023 8:20,
131-3,Full,E3 Q4,13.22,112.11,98.89,8/3/2023,,,,
131.5-3,fPOM,E3 Q4,13.21,13.32,0.11,8/3/2023,8/29/2023 12:10,8/29/2023 12:10,8/31/2023 12:20,
132-3,>4.75 mm,E3 Q4,13.13,28.26,15.13,8/3/2023,8/15/2023 13:35,8/15/2023 13:35,8/21/2023 8:20,
133-3,>2 mm,E3 Q4,11.99,41.34,29.35,8/3/2023,8/27/2023 11:45,8/27/2023 11:45,8/29/2023 11:45,
134-3,>250 um,E3 Q4,12.08,58.04,45.96,8/3/2023,8/15/2023 13:35,8/15/2023 13:35,8/21/2023 8:20,
