trt,num,type,N,C,CN,trt.full,sum.mass,mass.g.m2,C.g.m2,N.g.m2
C,1,PA,NA,NA,NA,Seedling,0,0,0,0
C,2,PA,NA,NA,NA,Seedling,0,0,0,0
C,3,PA,NA,NA,NA,Seedling,0,0,0,0
D,1,PA,3.35,41.14,12.28059701,Acorn,2.18,4.844444444,1.993004444,0.162288889
D,2,PA,1.34,41.54,31,Acorn,3.01,6.688888889,2.778564444,0.089631111
D,3,PA,2.43,39.45,16.2345679,Acorn,6.04,13.42222222,5.295066667,0.32616
E,1,PA,2.61,52.65,20.17241379,Seedbank,147.32,327.3777778,172.3644,8.54456
E,2,PA,1.95,41.25,21.15384615,Seedbank,75.23,167.1777778,68.96083333,3.259966667
E,3,PA,2.89,42.15,14.58477509,Seedbank,32.23,71.62222222,30.18876667,2.069882222
R,1,PA,NA,NA,NA,Reference,0,0,0,0
R,2,PA,NA,NA,NA,Reference,0,0,0,0
R,3,PA,NA,NA,NA,Reference,0,0,0,0
