"plot","trt","trt.full","num","quad","temperature","gravimetric.moisture","volumetric.moisture","bulk.density","bulk.n","bulk.c","bulk.cn","ton","toc","sand","silt","clay","ph","p","k","ca","mg","som","no3","nh4","cec","k.meq","ca.meq","mg.meq","h.meq","pon","poc","fpom","g475mm","g2mm","g250um","g53um","l53um","mwd","tic","maoc"
"A1","A","Balled-and-burlapped","1","Q1",16,0.289209590654354,0.283083068565434,0.978816324607152,0.26,3.78,14.54,0.29,2.89,32,53,15,7.7,85,40,6986,380,4,10.2,1,38.2,0.1,34.9,3.2,0,0.029665,0.388745,0.0996803251970929,8.45199445378671,22.2261208304966,51.7839289398898,10.3368497229385,7.1014257276913,1.88717575236217,0.89,2.501255
"A1","A","Balled-and-burlapped","1","Q2",16.6,0.303814062812658,0.302503102964929,0.995684992868361,0.28,3.93,14.04,0.32,3.06,40,45,15,7.6,94,47,7115,458,4.4,9.8,1,39.5,0.1,35.6,3.8,0,0.03139,0.38972,0.0897122926773836,9.9710229294652,30.8097929938687,42.2539914494217,8.21365879624046,8.66182153832658,2.16328432217877,0.87,2.67028
"A1","A","Balled-and-burlapped","1","Q3",16.3,0.284624284379678,0.2826998619552,0.993238727227114,0.29,3.93,13.55,0.33,3.23,33,46,21,7.6,130,68,5960,513,5,10.2,1.9,34.2,0.2,29.8,4.3,0,0.03168,0.40788,0.109648357716802,4.65068525239557,28.4040083452368,52.0294415808502,7.60560881253819,7.20060765126239,1.85197018162752,0.7,2.82212
"A1","A","Balled-and-burlapped","1","Q4",15.6,0.285156346019615,0.271386295910107,0.95171052546535,0.28,3.92,14,0.34,3.3,39,42,19,7.7,121,60,6077,505,4.7,7.5,1.2,34.7,0.2,30.4,4.2,0,0.03827,0.55694,0.318977040630697,7.82161607724029,25.7210127122319,49.8700666961056,9.09084565797487,7.17748181581668,1.94152308546491,0.62,2.74306
"A1","A","Balled-and-burlapped","1","Q5",16,0.251966228549687,0.210572924601104,0.835718841422353,0.3,3.98,13.27,0.33,3.27,33,48,19,7.8,109,56,6114,518,5.6,11.8,1,35,0.1,30.6,4.3,0,0.039355,0.53009,0.219296715433604,2.56008979203694,20.9094434149682,52.2575101649012,12.0412836034836,12.0123763091765,1.47503897351195,0.71,2.73991
"A2","A","Balled-and-burlapped","2","Q1",17.7,0.237462979175204,0.256606625908722,1.08061739476196,0.3,4.15,13.83,0.33,3.14,37,48,15,7.8,118,53,7652,505,5.1,9.7,1,42.6,0.1,38.3,4.2,0,0.030125,0.49641,0.149520487795639,10.4267613762663,21.8526186519831,52.5006304780569,8.89148500758069,6.1789839983174,2.00633460990603,1.01,2.64359
"A2","A","Balled-and-burlapped","2","Q2",16.6,0.34527160883099,0.273447523158046,0.791978014305539,0.3,4.18,13.93,0.36,3.31,41,42,17,7.7,101,76,7797,471,5.1,23.1,1,43.1,0.2,39,3.9,0,0.0536,0.620995,0.269136878032151,9.44969482868441,20.8341847694444,48.8732634441347,4.70481166897759,15.8689084107268,1.8625237847224,0.87,2.689005
"A2","A","Balled-and-burlapped","2","Q3",15.9,0.262662321294218,0.258536627644856,0.984292784633009,0.26,4.06,15.62,0.32,3,40,45,15,7.6,122,62,7340,536,5,8.4,1,41.3,0.2,36.7,4.5,0,0.032615,0.405285,0.0697762276379651,2.1224931644217,13.2602743003189,60.2567565816427,14.2941586332631,9.99654109271566,1.28238735874052,1.06,2.594715
"A2","A","Balled-and-burlapped","2","Q4",17.5,0.249956211547187,0.22778725125459,0.911308624197112,0.25,3.99,15.96,0.31,3.09,42,43,15,7.6,112,83,7323,597,5.8,9.7,1,41.8,0.2,36.6,5,0,0.04257,0.531765,0.0996803251970929,10.0612336237686,26.81251227314,46.6285622010213,7.77506536537325,8.62294621149972,2.08267648152375,0.9,2.558235
"A2","A","Balled-and-burlapped","2","Q5",17.4,0.286393717160093,0.264244676810951,0.922662268681119,0.32,4.26,13.31,0.36,3.77,36,45,19,7.7,101,67,7349,510,6.6,11.8,1,41.2,0.2,36.7,4.3,0,0.049855,0.564995,0.129584422756221,5.00724177562557,20.5561763424697,58.0100617320254,8.5824759994697,7.71445972765341,1.67859826037896,0.49,3.205005
"A3","A","Balled-and-burlapped","3","Q1",16.2,0.233238860476883,0.246167389441457,1.05543042415033,0.27,3.99,14.78,0.09,2.93,44,39,17,7.8,108,68,6295,581,5.4,8,1,36.5,0.2,31.5,4.8,0,0.03655,0.48579,0.179424585354767,2.20084190002661,17.6592667315918,57.2545845473566,8.65225222710766,14.0536300085625,1.39352616159975,1.06,2.44421
"A3","A","Balled-and-burlapped","3","Q2",16.4,0.278600596306301,0.234751815648395,0.842610600123421,0.28,4,14.29,0.37,3.49,42,41,17,7.5,118,61,6083,524,4.9,7.3,1,34.9,0.1,30.4,4.4,0,0.031675,0.3851,0.0797442601576743,10.1218392614884,30.2513838121146,45.9526299158598,5.52229001591895,8.07211273446058,2.19158481250629,0.51,3.1049
"A3","A","Balled-and-burlapped","3","Q3",16,0.24040488249383,0.225045977136217,0.936112340155957,0.27,3.63,13.44,0.32,3.13,36,43,21,7.6,119,61,6075,518,4.4,6.9,1,34.8,0.2,30.4,4.3,0,0.05683,0.84101,0.0697762276379651,3.65627432822937,18.9050714359051,55.3907618268214,10.8452193814437,11.1328967999625,1.51071022730105,0.5,2.28899
"A3","A","Balled-and-burlapped","3","Q4",16.1,0.255449318678915,0.224406124359796,0.878476112288484,0.26,3.7,14.23,0.32,3.17,37,44,19,7.8,114,78,6195,582,5.7,7.3,2.1,36,0.2,31,4.9,0,0.03417,0.46006,0.249200812992732,3.65318423814826,18.2077078808262,59.6433238603798,10.0577448123867,8.18883839526637,1.53362551297987,0.53,2.70994
"A3","A","Balled-and-burlapped","3","Q5",16.1,0.240171218523366,0.272410625114401,1.13423509606709,0.28,3.91,13.96,0.34,3.36,39,44,17,7.9,119,52,6179,527,5.3,5.6,1,35.4,0.1,30.9,4.4,0,0.044535,0.590135,0.0996803251970929,9.03970965114877,36.2686863229623,41.9737900552927,2.74071054129407,9.87742310410513,2.27670696825281,0.55,2.769865
"B1","B","Bareroot","1","Q1",16.2,0.256063005543038,0.258459797820033,1.00936016615095,0.3,4.05,13.5,0.36,3.31,42,43,15,7.9,112,69,7214,544,6,9.6,1,40.8,0.2,36.1,4.5,0,0.051185,0.68324,0.348881138189825,8.96634493180371,25.5793669701268,44.2732157969392,8.01928216210613,12.8129090008343,1.94513101483542,0.74,2.62676
"B1","B","Bareroot","1","Q2",16.3,0.264209909215528,0.228377671229251,0.864379658989067,0.29,4.05,13.97,0.34,3.3,37,46,17,7.7,103,52,6239,485,5.3,8.1,1,35.4,0.1,31.2,4,0,0.049435,0.68324,0.0996803251970929,9.87054516166654,23.5315343692777,52.543193976916,6.82810227600087,7.12694389094175,2.02489204620781,0.75,2.61676
