"full.treatment.name","treatment","plot","maoc.stock","poc.stock","soc.stock","tic.stock","tc.stock"
"Acorn","D","1",96.6826529184844,11.9481811229218,108.630834041406,0.988005462017163,109.618839503423
"Acorn","D","2",64.9307573360314,15.882406036361,80.8131633723924,10.2985606176742,91.1117239900666
"Acorn","D","3",91.5838272310401,16.0331440222324,107.616971253272,0,107.616971253272
"Balled-and-burlapped","A","1",76.8627558625709,12.8803342817622,89.7430901443331,21.6964829097192,111.439573054052
"Balled-and-burlapped","A","2",76.9726814058762,14.5983862091226,91.5710676149988,24.5764623977852,116.147530012784
"Balled-and-burlapped","A","3",77.1657761095932,16.1879416541224,93.3537177637157,18.6357928085404,111.989510572256
"Bareroot","B","1",73.4785823275506,18.0657877097299,91.5443700372804,17.8660601266246,109.410430163905
"Bareroot","B","2",78.3397662168789,16.3566987155551,94.696464932434,15.3723845005715,110.068849433005
"Bareroot","B","3",65.0530311571028,14.1836454801674,79.2366766372702,16.4195713682504,95.6562480055206
"Reference","R","1",117.394067523938,17.2211943399021,134.61526186384,0,134.61526186384
"Reference","R","2",104.008121533464,15.6474001515311,119.655521684996,0,119.655521684996
"Reference","R","3",111.489202325307,16.0169919812203,127.506194306527,0,127.506194306527
"Seedbank","E","1",98.8648070494774,19.631806299795,118.496613349272,0,118.496613349272
"Seedbank","E","2",105.038238026363,17.9149009041244,122.953138930488,0,122.953138930488
"Seedbank","E","3",97.5404321510581,13.2859917128141,110.826423863872,0,110.826423863872
"Seedling","C","1",75.8857954921187,17.7805601305047,93.6663556226234,25.0625030667733,118.728858689397
"Seedling","C","2",78.2758887272379,10.3345836566077,88.6104723838456,14.65850543094,103.268977814786
"Seedling","C","3",76.4829004284354,8.96979415883471,85.4526945872701,12.3356328555961,97.7883274428662
