"trt","trt.full","num","int.fwd.carbon","cwd.carbon","snag.carbonmin","snag.frax.liveC","snag.frax.deadC","dead.stem.carbonmin","live.stem.carbon","live.woody.c.stock","HB.C.Mg.ha","MB.C.Mg.ha","PAB.C.Mg.ha","HJB.C.Mg.ha","HL.C.Mg.ha","FWD.C.Mg.ha","FWD.CN.ratio","HL.CN.ratio","HB.CN.ratio","MAOC","POC","SOC","TIC","TC","total.live.carbon","total.dead.carbon","total.veg.carbon","total.ecosystem.carbon","woody.c.stock.frax.live","snag.c.stock.frax.live","total.live.carbon.frax.live","total.dead.carbon.frax.live","total.veg.carbon.frax.live","total.ecosystem.carbon.frax.live","n.herb","n.tree","n.total"
"A","Balled-and-burlapped",1,0.404279294462689,0.772208534511271,0.552819737170907,8.37509469375336,0.552819737170907,0,0,105.344306189433,0.1803568,0.1803568,0,0,1.94099837777778,1.5952426,41.3418803418803,17.7831858407079,11.0740740740741,76.8627558625709,12.8803342817622,89.7430901443331,21.6964829097192,111.439573054052,105.524662989433,5.26554854392265,110.790211533356,222.229784587408,113.719400883186,0,113.899757683186,4.71272880675174,118.612486489938,230.05205954399,"17","3","19"
"A","Balled-and-burlapped",2,1.21283788338807,0,0.474902003987414,0,0,0,0,50.9974361802374,0.640691266666667,0.1696086,0,0.471082666666667,1.89600102222222,0.630991888888889,63.5333333333334,15.5488372093024,11.2360843340391,76.9726814058762,14.5983862091226,91.5710676149988,24.5764623977852,116.147530012784,51.6381274469041,4.21473279848659,55.8528602453907,172.000390258175,50.9974361802374,0.474902003987414,51.6381274469041,4.21473279848659,55.8528602453907,172.000390258175,"17","4","21"
"A","Balled-and-burlapped",3,2.58738748456121,3.22449690466199,0.601721828586446,7.69110306633273,0.489006016700188,0,0.0730164911248376,221.789681645264,0.247361,0.198832,0,0.048529,1.97889982222222,1.7765034,57.5357142857143,15.8165938864629,12.792284805086,77.1657761095932,16.1879416541224,93.3537177637157,18.6357928085404,111.989510572256,222.110059136389,10.1690094400319,232.279068576421,344.268579148677,229.480784711597,0.112715811886258,229.801162202722,9.68000342333168,239.481165626053,351.470676198309,"20","2","21"
"B","Bareroot",1,1.69797303674329,8.5355961883377,2.39048207753875,20.3777273365663,1.36965106912237,0,0.0288062489344749,8.65053554456604,1.34995673333333,0.777948044444445,0.0384823555555555,0.533526333333334,2.75731377777778,3.59988408888889,44.983606557377,16.9158878504673,12.6490323440397,73.4785823275506,18.0657877097299,91.5443700372804,17.8660601266246,109.410430163905,10.0292985268338,18.9812491692864,29.0105476961203,138.420977860025,29.0282628811323,1.02083100841638,30.4070258634001,17.611598100164,48.0186239635642,157.429054127469,"12","2","14"
"B","Bareroot",3,4.60878395687465,11.5000091302499,2.38799592934158,1.2972828469165,0.105686957925828,0,0,86.6595253549175,0.280234111111112,0.104475,0.175759111111111,0,1.43395782222222,5.07358435555555,63.1688311688311,18.6836734693877,22.1225812676525,65.0530311571028,14.1836454801674,79.2366766372702,16.4195713682504,95.6562480055206,86.9397594660286,25.0043311942439,111.944090660273,207.600338665793,87.956808201834,2.28230897141575,88.2370423129451,24.8986442363181,113.135686549263,208.791934554784,"14","4","17"
"B","Bareroot",2,3.31509021459405,15.8503796999717,2.39655019365618,1.20904838184318,0.0908033737864982,0,0,70.7721068188676,0.0181007111111111,0.0161896,0,0.00191111111111111,1.57617053333333,4.30283066666667,58.297619047619,18.3922651933701,9.15554256682329,78.3397662168789,16.3566987155551,94.696464932434,15.3723845005715,110.068849433005,70.7902075299787,27.4410213082219,98.2312288382006,208.300078271206,71.9811552007108,2.30574681986968,71.9992559118219,27.3502179344354,99.3494738462573,209.418323279262,"14","5","19"
"C","Seedling",1,2.82995506123882,12.4076822870794,0.198031554963241,2.24262429794155,0.170173063240503,0,0,67.0569844737938,0.187830888888889,0.187830888888889,0,0,1.572786,0.309207822222222,33.8591549295774,17.4666666666667,11.0179104477612,75.8857954921187,17.7805601305047,93.6663556226234,25.0625030667733,118.728858689397,67.2448153626827,17.3176627255037,84.5624780881864,203.291336777583,69.2996087717354,0.027858491722738,69.4874396606242,17.1474896622632,86.6349293228874,205.363788012284,"19","5","23"
"C","Seedling",3,2.26396404899106,0.864102153664975,1.07364463851939,0,0,0,0.00115086689424199,214.031844856258,0.0530387111111111,0.0530387111111111,0,0,2.19794546666667,4.40723386666666,40.8220338983052,17.6972477064221,17.6017316017316,76.4829004284354,8.96979415883471,85.4526945872701,12.3356328555961,97.7883274428662,214.086034434263,10.8068901745088,224.892924608772,322.681252051638,214.031844856258,1.07364463851939,214.086034434263,10.8068901745088,224.892924608772,322.681252051638,"15","2","16"
"C","Seedling",2,2.34481990788359,5.07375559688977,2.0669530474632,0.247830597732533,0.0232381229247384,0,0.0156517081344373,194.032125712287,0.268893888888889,0.246820911111111,0,0.0220729777777778,1.77456426666667,2.79594066666667,49.2475247524752,18.8021390374332,25.0261632295974,78.2758887272379,10.3345836566077,88.6104723838456,14.65850543094,103.268977814786,194.31667130931,14.0560334855699,208.37270479488,311.641682609666,194.27995631002,2.04371492453846,194.564501907043,14.0327953626452,208.597297269688,311.866275084474,"16","2","18"
"D","Acorn",3,0.485135153355227,1.43579219122636,0.41303440000551,0,0,0,0,28.1653864563797,0.0573195555555556,0.00436888888888888,0.0529506666666667,0,2.95434275555556,0.150077955555556,43.9532710280375,16.7731958762886,15.3286345916136,91.5838272310401,16.0331440222324,107.616971253272,0,107.616971253272,28.2227060119353,5.43838245569821,33.6610884676335,141.278059720905,28.1653864563797,0.41303440000551,28.2227060119353,5.43838245569821,33.6610884676335,141.278059720905,"10","2","12"
