"redo","year","plot","trt","trt.full","num","abC_ha1","abC_ha2","abC_ha3","bgC_ha1","bgC_ha2","bgC_ha3","bmC_ha1","bmC_ha2","bmC_ha3"
"N",2013,"A1","A","Balled-and-burlapped",1,58.1893457533207,55.0098976911902,62.8533589684541,10.9028115484292,11.2823564877984,12.5706717936908,69.0921573017499,66.2922541789886,75.4240307621449
"N",2013,"A2","A","Balled-and-burlapped",2,43.8297232382078,41.6326363164213,47.295436760606,8.29993993464302,8.66979248458696,9.4590873521212,52.1296631728508,50.3024288010082,56.7545241127272
"N",2013,"A3","A","Balled-and-burlapped",3,4.72460503458716,4.55454475367412,6.01474942010845,0.90313118281326,0.96036162041073,1.20294988402169,5.62773621740042,5.51490637408485,7.21769930413013
"N",2013,"B1","B","Bareroot",1,97.3023965550496,98.8733265856435,130.774274943685,18.4402448614309,20.5991375130695,26.154854988737,115.742641416481,119.472464098713,156.929129932422
"N",2013,"B2","B","Bareroot",2,90.1631818113602,87.4801032757792,103.825582248583,17.2316426591812,18.3526578630629,20.7651164497167,107.394824470541,105.832761138842,124.5906986983
"N",2013,"B3","B","Bareroot",3,99.4512374974073,93.6087770049131,100.962249070329,19.1057087691981,19.7713366306671,20.1924498140658,118.556946266605,113.38011363558,121.154698884395
"N",2013,"C1","C","Seedling",1,10.6685346596564,10.3746418004764,14.2390379291856,2.10838580058283,2.23423801639836,2.84780758583713,12.7769204602392,12.6088798168748,17.0868455150227
"N",2013,"C2","C","Seedling",2,166.011535614335,157.78502633684,173.874153046422,31.5237217577746,32.9361291075106,34.7748306092843,197.535257372109,190.721155444351,208.648983655706
"N",2013,"C3","C","Seedling",3,67.5299491006576,64.543387679755,73.4160757773787,12.8420039363004,13.4566664686134,14.6832151554757,80.371953036958,78.0000541483684,88.0992909328545
"N",2013,"D1","D","Acorn",1,9.66415973674757,9.114187934409,11.0187935053713,1.8610988990844,1.9305435308213,2.20375870107426,11.525258635832,11.0447314652303,13.2225522064455
"N",2013,"D2","D","Acorn",2,8.85580906477801,8.58909940347665,9.67885458898281,1.71386095046449,1.82145433086866,1.93577091779656,10.5696700152425,10.4105537343453,11.6146255067794
"N",2013,"D3","D","Acorn",3,9.64806428414022,9.27430701085698,13.5729491856089,1.88064160139745,1.98428673667691,2.71458983712179,11.5287058855377,11.2585937475339,16.2875390227307
"N",2013,"E1","E","Seedbank",1,2.22065452989649,1.98995127272804,1.73239987116259,0.469008327078499,0.439106751776904,0.346479974232518,2.68966285697499,2.42905802450494,2.07887984539511
"N",2013,"E3","E","Seedbank",3,0.807477254289546,0.747858812005057,0.693877900770264,0.162134962320181,0.162317871254325,0.138775580154053,0.969612216609727,0.910176683259382,0.832653480924317
"N",2013,"R1","R","Reference",1,139.535294362512,129.9009572522,160.243347049839,26.1603150913641,26.6364595816288,32.0486694099679,165.695609453877,156.537416833829,192.292016459807
"N",2013,"R2","R","Reference",2,71.7560104426473,68.5349832602311,80.5166761845772,13.4690020187537,14.0708233195112,16.1033352369154,85.2250124614009,82.6058065797423,96.6200114214926
"N",2013,"R3","R","Reference",3,60.2077129708605,56.9772208855792,76.723575713579,11.3031485444832,11.7158299478797,15.3447151427158,71.5108615153437,68.6930508334588,92.0682908562948
"N",2022,"A2","A","Balled-and-burlapped",2,41.7896677905701,40.0026251832427,50.8402246866127,7.83379067412117,8.18383994208626,10.1680449373225,49.6234584646913,48.1864651253289,61.0082696239352
"N",2022,"B2","B","Bareroot",2,70.4268085165236,65.9860844451757,70.7171061763701,13.3843625925334,13.798660749032,14.143421235274,83.811171109057,79.7847451942077,84.8605274116442
"N",2022,"B3","B","Bareroot",3,85.2807419134328,80.0548452357078,86.5863084680472,16.1811543832972,16.7119365324915,17.3172616936094,101.46189629673,96.7667817681993,103.903570161657
"N",2022,"C1","C","Seedling",1,58.7003848925922,63.0817355577499,66.5670953055545,11.0250115908771,12.8651434174505,13.3134190611109,69.7253964834693,75.9468789752005,79.8805143666655
"N",2022,"C3","C","Seedling",3,194.455800745052,188.148787302051,213.921017036299,36.5134517396169,38.6031084450889,42.7842034072599,230.969252484668,226.75189574714,256.705220443559
"N",2022,"D1","D","Acorn",1,11.4291127354392,11.003050929672,14.0784895018244,2.18531783542012,2.31657088148105,2.81569790036488,13.6144305708593,13.3196218111531,16.8941874021893
"N",2022,"D2","D","Acorn",2,63.6026932114987,61.8278963210295,76.4175903687386,11.9766849572074,12.7345127114707,15.2835180737477,75.5793781687061,74.5624090325002,91.7011084424864
"N",2022,"D3","D","Acorn",3,25.0995313775873,24.6986300481692,28.1757710065263,4.7796784071207,5.17103617840929,5.63515420130526,29.879209784708,29.8696662265785,33.8109252078316
"N",2022,"E1","E","Seedbank",1,15.5536536746513,15.7472825242724,17.3385385591139,2.93510517570849,3.26873326642401,3.46770771182278,18.4887588503598,19.0160157906964,20.8062462709367
"N",2022,"E2","E","Seedbank",2,12.5552166017079,12.1125679815016,16.4926964853899,2.36465671034031,2.50336862271302,3.29853929707798,14.9198733120482,14.6159366042146,19.7912357824679
"N",2022,"E3","E","Seedbank",3,23.5358117862972,22.2186872955207,24.1070886546025,4.44496504041426,4.61228555862349,4.8214177309205,27.9807768267115,26.8309728541442,28.928506385523
"N",2022,"R1","R","Reference",1,146.743564557771,139.903636538662,159.771167284666,27.5439040503212,28.7401464059552,31.9542334569333,174.287468608093,168.643782944617,191.7254007416
"N",2022,"R2","R","Reference",2,44.9526840714007,43.3780660520274,48.9110727771602,8.46362071575512,8.95920877396769,9.78221455543204,53.4163047871558,52.3372748259951,58.6932873325922
