tid,spid,treatment,species,posterior.mean,5,95,25,75,type
6,3,Reference,Carya illinoiensis ,0.063056472,0.007988053,0.152887911,0.021013121,0.074177884,dead.trees
6,4,Reference,Fraxinus pennsylvanica,1.867334045,1.650687335,2.074337381,1.784649019,1.953088114,dead.trees
6,5,Reference,Platanus occidentalis,0.0645278,0.005036931,0.155824917,0.019350477,0.074377171,dead.trees
6,6,Reference,Quercus bicolor,0.062576624,0.003274375,0.151739927,0.016016141,0.069326418,dead.trees
6,7,Reference,Quercus palustris ,0.063601724,0.006257977,0.152854585,0.015389063,0.06933557,dead.trees
6,8,Reference,Salix interior,0.066500242,0.007958791,0.15465225,0.018624111,0.073187237,dead.trees
6,9,Reference,Salix nigra,0.064251757,0.005751882,0.151310807,0.014013583,0.067738862,dead.trees
6,10,Reference,Ulmus americana,0.0762385,0.008112508,0.181138883,0.020289775,0.084353394,dead.trees
6,11,Reference,Unknown,0.112423408,0.011340576,0.240205798,0.030528389,0.1253993,dead.trees
1,1,Balled-and-burlapped,Acer saccharinum,131.8198425,111.9689003,149.2258839,124.097948,139.191566,live.trees
1,2,Balled-and-burlapped,Betula nigra,5.373703366,0.521592398,13.72921655,1.326231096,6.055646589,live.trees
1,3,Balled-and-burlapped,Quercus bicolor,6.140714874,0.452997423,15.0343887,1.257041768,6.536384326,live.trees
1,4,Balled-and-burlapped,Quercus palustris,4.808661115,0.39684923,12.40255075,0.95817117,5.113265071,live.trees
1,5,Balled-and-burlapped,Fraxinus pennsylvanica,4.807132052,0.620066318,11.78982837,0.916073348,5.017506801,live.trees
1,6,Balled-and-burlapped,Populus deltoides,4.777381996,0.346691882,12.01984648,0.994168228,5.244128959,live.trees
1,7,Balled-and-burlapped,Carya illinoiensis,4.602909757,0.516913959,11.74145988,0.891732711,4.858827517,live.trees
1,8,Balled-and-burlapped,Morus alba,4.738235194,0.278789338,12.16214376,1.143519923,5.3278307,live.trees
1,9,Balled-and-burlapped,Salix interior,4.720553987,0.429403242,11.97417392,1.068901149,5.061992382,live.trees
