"tid","trt","var","mean","5","95","25","75"
1,"Balled-and-burlapped","Fine woody debris (2.5-7.5 cm)",1.27430984704077,0.553702727117193,2.03027787941305,1.04851163708942,1.64382356463977
2,"Bareroot","Fine woody debris (2.5-7.5 cm)",3.06620355755106,2.21741404004442,3.84358171478912,2.84591795222169,3.47433352791998
3,"Seedling","Fine woody debris (2.5-7.5 cm)",2.37238119196413,1.48184372129559,3.07868842451778,2.07650391629786,2.72033400872956
4,"Acorn","Fine woody debris (2.5-7.5 cm)",0.600367789238914,0.145641474724737,1.15502925204158,0.299839685176577,0.738908390466624
5,"Seedbank","Fine woody debris (2.5-7.5 cm)",0.561245246244782,0.126218931289942,1.0563627822629,0.269219746896211,0.654739828989718
6,"Reference","Fine woody debris (2.5-7.5 cm)",1.24315585298013,0.498741511783158,2.00094520235359,0.898187594528533,1.5184982758844
1,"Balled-and-burlapped","Coarse woody debris (≥ 7.6 cm)",2.91195372646203,0.372481541647536,5.95650462062779,1.02870651768979,3.31523067019309
2,"Bareroot","Coarse woody debris (≥ 7.6 cm)",10.227638460754,4.19153160356752,15.5308319306051,7.96830824567841,12.4966699521149
3,"Seedling","Coarse woody debris (≥ 7.6 cm)",5.08570299861188,1.08703325928103,9.49231197311058,3.04075002879357,6.73824971491582
4,"Acorn","Coarse woody debris (≥ 7.6 cm)",3.21072674758422,0.467017852022784,6.43549335134903,1.3501587862601,3.85607260236668
5,"Seedbank","Coarse woody debris (≥ 7.6 cm)",2.59259224713772,0.403230147266321,5.70744923523131,0.856245799582891,2.87421963179473
6,"Reference","Coarse woody debris (≥ 7.6 cm)",11.5898151792798,5.70158727278933,17.5559373806626,9.68762410063596,14.4602456522542
1,"Balled-and-burlapped","Standing dead trees (≥ 2.5 cm)",0.570334744638174,0.166701088566239,0.982552050380666,0.370647812698547,0.711878549150926
2,"Bareroot","Standing dead trees (≥ 2.5 cm)",2.33796534636314,1.8649067294841,2.89335011714735,2.13426866182791,2.5359340756849
3,"Seedling","Standing dead trees (≥ 2.5 cm)",1.03911881231334,0.587090111415138,1.60589629641249,0.830938944494283,1.24101989912573
4,"Acorn","Standing dead trees (≥ 2.5 cm)",0.522961747590311,0.149182788095802,0.939020508564805,0.344588971506077,0.661717891821687
5,"Seedbank","Standing dead trees (≥ 2.5 cm)",0.302376375611819,0.0819371360592541,0.620421645218157,0.140682041594073,0.348975709616265
6,"Reference","Standing dead trees (≥ 2.5 cm)",2.69697437886507,2.11806098586151,3.19195008152313,2.51285370313638,2.90130327393268
