treatment,variable,variable.label,variable.mean,posterior.mean,posterior.sd,5,95,25,75
Seedbank,total.ecosystem.carbon,Total ecosystem,222.7078553,141.5826083,42.41915531,74.18714199,213.733999,114.3252946,172.1158586
Reference,total.ecosystem.carbon,Total ecosystem,222.7078553,240.9458341,46.52853859,166.6961754,311.5356714,214.3452744,271.3411395
Balled-and-burlapped,n.herb,Herbaceous layer richness,14.72222222,17.78421148,1.779744408,14.79566227,20.54613958,16.45726577,18.7366794
Bareroot,n.herb,Herbaceous layer richness,14.72222222,13.11090166,1.736404991,10.31969358,15.88223467,12.27505394,14.44711251
Seedling,n.herb,Herbaceous layer richness,14.72222222,16.44273223,1.798388014,13.3523349,19.27411624,15.32613848,17.61088309
Acorn,n.herb,Herbaceous layer richness,14.72222222,15.10033333,1.79843543,12.48958464,18.26844159,13.98643272,16.35376372
Seedbank,n.herb,Herbaceous layer richness,14.72222222,6.627950083,1.625120646,4.064651746,9.342632531,5.527856172,7.616432377
Reference,n.herb,Herbaceous layer richness,14.72222222,18.12300396,1.837447308,15.11827638,21.04466467,17.13501564,19.33295336
Balled-and-burlapped,n.tree,Tree layer richness,2.777777778,2.796099355,0.783012222,1.502080651,4.020841655,2.250513129,3.248330745
Bareroot,n.tree,Tree layer richness,2.777777778,3.424651615,0.844621996,2.035810964,4.78863426,2.95942605,3.997804149
Seedling,n.tree,Tree layer richness,2.777777778,2.772302727,0.79958669,1.511235076,4.14266478,2.142255503,3.219671216
Acorn,n.tree,Tree layer richness,2.777777778,2.796132418,0.776491089,1.444975328,3.924842596,2.243278131,3.265811404
Seedbank,n.tree,Tree layer richness,2.777777778,1.392578059,0.620409916,0.353950307,2.320610384,0.890823688,1.699923496
Reference,n.tree,Tree layer richness,2.777777778,2.452204088,0.787688342,1.212509583,3.795519331,1.846651959,2.836973592
Balled-and-burlapped,n.total,Total richness,16.83333333,20.15198002,2.198041137,16.66746203,23.64328276,18.63105939,21.44316717
Bareroot,n.total,Total richness,16.83333333,16.41539643,2.281470995,12.51909461,19.79265774,15.08384114,17.96400525
Seedling,n.total,Total richness,16.83333333,18.72896116,2.263911785,15.0648776,22.274868,17.36834068,20.15164752
Acorn,n.total,Total richness,16.83333333,17.44882826,2.236382861,13.59398,20.8827414,15.89672078,18.79387554
Seedbank,n.total,Total richness,16.83333333,7.962177772,2.139057573,4.654623597,11.78312057,6.613381177,9.148034501
Reference,n.total,Total richness,16.83333333,19.08088504,2.200275503,15.61719651,22.6422821,17.70912684,20.45585291
