"model","model.label","variable","variable.label","treatment","full.treatment.name","posterior.mean","posterior.se","5","95","25","75"
"plot.random","Plot random effects","abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","E","Seedbank",4.82662980270999,3.21265679027686,0.314595065852164,9.87614336256766,2.9309729317136,5.76634155779308
"plot.random","Plot random effects","abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","R","Reference",-9.14836756473538,8.13742464714178,-24.9318370922768,-1.84921102914149,-7.5178966394557,-4.28910404175661
"strip.plot.random","Strip and plot random effects","abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","A","Balled-and-burlapped",-8267737.22821661,31329985.7278339,-2375160.15865223,-2.18967484909599,-7.58631124367467,-5.38439209054118
"strip.plot.random","Strip and plot random effects","abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","B","Bareroot",387508.261153447,8937316.85187217,-5994131.8290326,1035126.65721848,-2.13951635169788,-1.06539284382606
"strip.plot.random","Strip and plot random effects","abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","C","Seedling",6162899.47365924,26040448.8302486,-5666032.37211325,1062037.9356063,-1.66281183467463,3.17423751785831
"strip.plot.random","Strip and plot random effects","abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","D","Acorn",3917336.8991498,18550542.7471919,-9514709.71762797,1081156.22229182,-8.31822414251502,-2.46534062316001
"strip.plot.random","Strip and plot random effects","abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","E","Seedbank",1408083.02996971,10386261.5131109,-3736084.4895878,3363584.62015602,7.46035410030876,11.9439496597304
"strip.plot.random","Strip and plot random effects","abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","R","Reference",4516308.7614611,19755009.1308137,-2054256.92153265,1201229.01960823,-13.5410706234507,-6.52098830810625
"simple","Fixed effects only","bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","A","Balled-and-burlapped",-917963063.369462,1377174317.88936,-2661434496.59877,-134.366857093013,-284866873.874167,-134.366857093013
"simple","Fixed effects only","bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","B","Bareroot",-747264323.56034,3228038367.75923,-1934087156.64639,1536877874.71388,-132355501.790433,136631358.606381
"simple","Fixed effects only","bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","C","Seedling",196101970.941112,1026294923.47116,-1391202207.41933,1633938084.82262,-130221668.94744,86822535.9417772
"simple","Fixed effects only","bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","D","Acorn",-348402034.247371,2124771705.62664,-2792205613.4216,3601835313.39508,-173376839.344724,268937349.362579
"simple","Fixed effects only","bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","E","Seedbank",-634979335.037515,1416285277.37156,-3572851094.54872,544927844.237429,-235799753.244921,105679588.778761
"simple","Fixed effects only","bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","R","Reference",-478851124.958301,1617437402.08776,-2988600205.81221,2030038081.00584,-146229001.295825,256400675.397099
"plot.random","Plot random effects","bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","A","Balled-and-burlapped",-2.84482458927021,2.65726586645464,-7.03687957020512,0.718510230205572,-3.67037674842905,-0.750843151468966
"plot.random","Plot random effects","bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","B","Bareroot",-2.67448489260745,3.87003901716157,-8.65385934832293,2.89062564266118,-4.93564807856454,-0.914616744614306
"plot.random","Plot random effects","bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","C","Seedling",-1.31769106703795,3.24070422583911,-7.05905431014238,3.01526363724967,-1.46961321465236,-0.444458460520831
"plot.random","Plot random effects","bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","D","Acorn",-1.21849377237252,1.29458149550474,-2.65092462026494,0.760661160406116,-2.64892987172921,-1.0569701226468
"plot.random","Plot random effects","bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","E","Seedbank",5.76820243252119,2.09810016002544,3.8745744045712,9.66501447127737,3.90197849536443,4.79377064517546
"plot.random","Plot random effects","bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","R","Reference",-10.3492281657254,4.88310076906612,-17.8827091294921,-4.69726427334752,-7.94520094436983,-5.35939545843838
"strip.plot.random","Strip and plot random effects","bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","A","Balled-and-burlapped",-4.36832479836236,1.08431714264999,-5.40067398853945,-2.4908209545187,-5.36626811158698,-4.93045698199523
"strip.plot.random","Strip and plot random effects","bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","B","Bareroot",-2.18738062763413,2.8921696326778,-4.72037725851074,2.94623830347131,-4.75181655118917,-3.66765389710974
"strip.plot.random","Strip and plot random effects","bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","C","Seedling",0.416572407830325,3.2530639621203,-5.25409508274151,3.59999566677254,2.21147427445447,3.62437529718397
"strip.plot.random","Strip and plot random effects","bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","D","Acorn",-2.18339671352199,2.6161407905111,-4.02075050612685,2.934128261122,-4.01516103049163,-3.49243043311589
"strip.plot.random","Strip and plot random effects","bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","E","Seedbank",5.56174994942028,0.979546657039251,4.10114099556468,7.05826774339922,5.22797494274605,6.14492806797283
"strip.plot.random","Strip and plot random effects","bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","R","Reference",-8.83865939512136,6.20116357774413,-17.9486920338354,0.482764962478201,-12.0526518920249,-6.4013370826305
"simple","Fixed effects only","tot.live.stem.carbon","Live stems (< 2.5 cm)","A","Balled-and-burlapped",-3641977368.3751,7056764040.94336,-12569778368.6209,-4947.69704460725,-398684294.138064,-4947.69704460725
"simple","Fixed effects only","tot.live.stem.carbon","Live stems (< 2.5 cm)","B","Bareroot",112319387.721463,5342489282.2124,-7942258576.87632,5484775262.33708,-253857638.646,299271186.910361
"simple","Fixed effects only","tot.live.stem.carbon","Live stems (< 2.5 cm)","C","Seedling",341948937.944835,3738123453.99819,-2346659004.81775,7838664461.01697,-326918900.463512,238776169.636297
"simple","Fixed effects only","tot.live.stem.carbon","Live stems (< 2.5 cm)","D","Acorn",-797112545.617598,3990327649.21896,-10019871563.2692,4356079025.11703,-186139193.6151,256320871.780015
"simple","Fixed effects only","tot.live.stem.carbon","Live stems (< 2.5 cm)","E","Seedbank",-1470707171.51599,6102778400.29753,-13549612079.2422,2045130183.91471,-162894092.9925,173178993.207803
"simple","Fixed effects only","tot.live.stem.carbon","Live stems (< 2.5 cm)","R","Reference",64229210.6187035,3881605964.72083,-4178677727.99346,7740049879.59399,-373221258.018777,219229316.536809
"plot.random","Plot random effects","tot.live.stem.carbon","Live stems (< 2.5 cm)","A","Balled-and-burlapped",-5.14816893328734,3.14089466692136,-9.25592859148903,0.46032288493036,-6.51511689911028,-4.93213280492464
"plot.random","Plot random effects","tot.live.stem.carbon","Live stems (< 2.5 cm)","B","Bareroot",1.82338759847023,4.81383445709834,-6.73529652962248,6.81998033426605,2.01177918649899,6.82025363620526
"plot.random","Plot random effects","tot.live.stem.carbon","Live stems (< 2.5 cm)","C","Seedling",1.56757957929696,3.52134855910554,-3.72372344394441,5.65978856728255,2.35031086117284,5.76520758079661
"plot.random","Plot random effects","tot.live.stem.carbon","Live stems (< 2.5 cm)","D","Acorn",-1.33941856096244,4.60391218585142,-6.97741616868307,4.81762919816771,0.438529020857661,4.60545214614244
"plot.random","Plot random effects","tot.live.stem.carbon","Live stems (< 2.5 cm)","E","Seedbank",4.85870464087209,2.03140784133222,2.07428547474541,8.03022235206706,2.11383920407347,4.39023622302388
"plot.random","Plot random effects","tot.live.stem.carbon","Live stems (< 2.5 cm)","R","Reference",-9.65675155791822,8.10945250353303,-24.5379306621444,-2.41419686379004,-5.59877397703703,-2.58709266655751
"strip.plot.random","Strip and plot random effects","tot.live.stem.carbon","Live stems (< 2.5 cm)","A","Balled-and-burlapped",-5.79728202153482,2.61645405958728,-9.01674328404759,-2.24144378934304,-9.00548269239349,-5.91699475609473
"strip.plot.random","Strip and plot random effects","tot.live.stem.carbon","Live stems (< 2.5 cm)","B","Bareroot",0.632460533240064,5.60168058873658,-8.45134798998737,6.60951500452945,1.04338651026167,6.61060548014115
"strip.plot.random","Strip and plot random effects","tot.live.stem.carbon","Live stems (< 2.5 cm)","C","Seedling",-0.230363568843659,3.21483944024322,-4.70752749546388,5.13595913686079,-1.60803657446476,0.805573393932944
"strip.plot.random","Strip and plot random effects","tot.live.stem.carbon","Live stems (< 2.5 cm)","D","Acorn",-0.572907203017933,2.88128082653349,-4.49240938684406,2.92670653809721,-4.48927034346172,-0.879700240004491
"strip.plot.random","Strip and plot random effects","tot.live.stem.carbon","Live stems (< 2.5 cm)","E","Seedbank",6.63342773843071,3.51045360938473,0.122680174067271,10.1201584132599,8.20705062647003,10.1180986289538
"strip.plot.random","Strip and plot random effects","tot.live.stem.carbon","Live stems (< 2.5 cm)","R","Reference",-3.4205663195655,2.88987581920114,-6.94116695007556,0.632116000676714,-2.39813799602126,0.752170861617931
"simple","Fixed effects only","snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","A","Balled-and-burlapped",-887.740626038465,900.453243486749,-2646.77085473676,0.817454221845296,-525.28290040998,0.817454221845296
"simple","Fixed effects only","snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","B","Bareroot",-435.66383088396,1132.09124150718,-2691.85647319814,1079.81127577245,-857.708394470883,269.468896371094
"simple","Fixed effects only","snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","C","Seedling",-294.62961901264,1449.4545719985,-2612.2406251857,2495.03070203734,-262.045958477003,414.530085486257
"simple","Fixed effects only","snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","D","Acorn",-115.765600757735,1585.77034467818,-3288.5178414669,2506.61098675999,-556.669554162401,664.473831468786
"simple","Fixed effects only","snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","E","Seedbank",-78.4204495693031,704.03852393412,-1297.26389309846,1156.90542443573,-315.276718688296,287.685293254494
"simple","Fixed effects only","snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","R","Reference",889.179330298626,900.456542436849,0.78297846186428,2648.40444264044,0.891648695120148,527.138510851228
"plot.random","Plot random effects","snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","A","Balled-and-burlapped",-1.99189717016005,1.8614965682623,-4.86433901774564,0.117562325086682,-1.8271065581746,0.117057427163058
"plot.random","Plot random effects","snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","B","Bareroot",0.279430409729584,2.46385709594195,-3.05582055435186,3.01953838404589,1.59595313853828,3.01953838404589
"plot.random","Plot random effects","snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","C","Seedling",-2.79676351290267,2.84170309151746,-7.45873570794021,0.515321026212779,-1.27534711275225,0.742368044397006
"plot.random","Plot random effects","snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","D","Acorn",-14.2874139246588,12.8465540347115,-39.5414391354175,-4.31097330843261,-10.0724832187027,-4.21668496455735
"plot.random","Plot random effects","snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","E","Seedbank",-12.6623792035877,4.58183423842748,-18.5628283400247,-6.56389604430806,-11.4446854037516,-6.97520981392509
"plot.random","Plot random effects","snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","R","Reference",3.14812622680212,2.23200586323488,-0.291636955070672,5.94216469398671,3.37043031836748,5.95633563001782
"strip.plot.random","Strip and plot random effects","snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","A","Balled-and-burlapped",-3.29449323198902,4.06135210159509,-10.9322904657574,0.534521334484929,-3.14274943094091,-0.248047546205182
"strip.plot.random","Strip and plot random effects","snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","B","Bareroot",1.59859128548918,3.90752932558659,-3.15286494105869,8.82188441615138,0.32209791016063,1.13728856091764
"strip.plot.random","Strip and plot random effects","snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","C","Seedling",-1.41802423483182,4.91739276514631,-7.92409513546252,7.14002478082673,-3.67837218155525,-0.634504773499588
"strip.plot.random","Strip and plot random effects","snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","D","Acorn",-9.74575834652627,3.06771401207265,-15.2313497771895,-7.14564461600883,-8.97721267336801,-7.18732961733894
"strip.plot.random","Strip and plot random effects","snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","E","Seedbank",-10.9699687454951,3.3939605091796,-15.975640410637,-6.90151085329922,-9.92756578543424,-6.93144971157629
"strip.plot.random","Strip and plot random effects","snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","R","Reference",5.86870265786366,6.13392660663991,0.816550791111457,17.6863620629826,0.817447925600032,3.71447219607627
"simple","Fixed effects only","snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","A","Balled-and-burlapped",-15144945.2212356,28647587.8534291,-45700405.3886501,0.584734785150133,-1832460.48565892,0.584734785150133
"simple","Fixed effects only","snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","B","Bareroot",48241.4893690571,23618069.2994338,-18153068.0279129,37557675.9054971,-2172689.93721054,806227.85309979
"simple","Fixed effects only","snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","C","Seedling",-2443748.55115034,17995320.3116144,-39192500.6002221,15687130.2163384,-2171705.86075343,1360143.93030802
"simple","Fixed effects only","snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","D","Acorn",2590264.76040678,15411715.1589682,-18691510.3313279,18911970.7794263,-1218568.02142752,1042228.7020691
"simple","Fixed effects only","snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","E","Seedbank",2291838.32906701,16784869.4342699,-14436672.1032076,29830125.9001316,-1449294.15678466,2058527.83530436
"simple","Fixed effects only","snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","R","Reference",-6780124.38724156,17746282.4011039,-44335120.6668275,13141017.9863967,-1502545.85321745,1543682.37580116
"plot.random","Plot random effects","snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","A","Balled-and-burlapped",-2.04998998990045,0.780437259652178,-2.79046188973849,-0.57236798634742,-2.79171583463292,-2.25881002487304
"plot.random","Plot random effects","snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","B","Bareroot",1.49399645484459,0.877052261894702,0.237964287330671,2.77615075819953,0.836845513233957,2.0411400260685
"plot.random","Plot random effects","snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","C","Seedling",-1.2122385024166,1.4049740807523,-3.90794225541604,-0.0231426117211422,-0.862565523918922,-0.0233705807724572
"plot.random","Plot random effects","snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","D","Acorn",-25.6338902767598,24.9117698787829,-60.7283991764083,-4.29828093875989,-7.36214163971997,-4.30424931129759
"plot.random","Plot random effects","snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","E","Seedbank",-28.3614991648463,29.2256817974915,-85.7658625680599,-7.90378402185016,-12.9694700051838,-8.16133712535495
"plot.random","Plot random effects","snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","R","Reference",2.76535679663345,1.64383857833183,0.726796509155483,4.49894510406552,3.86278116376811,4.48865370567502
"strip.plot.random","Strip and plot random effects","snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","A","Balled-and-burlapped",-81057897.8334002,274156303.039903,-164536952.263013,-0.306340629511546,-1.88840377296698,-0.532241737374896
"strip.plot.random","Strip and plot random effects","snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","B","Bareroot",19402589.2299563,91258584.6808828,-37908212.9027439,16430045.4999668,-0.414597822228669,2.51493774931337
"strip.plot.random","Strip and plot random effects","snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","C","Seedling",-21458281.7418846,119448186.406949,-13444516.7652709,28991055.21046,-1.80792145297153,-1.31077090509965
"strip.plot.random","Strip and plot random effects","snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","D","Acorn",25650094.8246701,82695809.9652918,-40304524.2272284,62168377.6132112,-14.5447581780006,-11.3609433247574
"strip.plot.random","Strip and plot random effects","snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","E","Seedbank",5900151.55873827,62819984.1119308,-45426000.4770689,25837732.1054282,-22.9009580021862,-3.87048313254773
"strip.plot.random","Strip and plot random effects","snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","R","Reference",38792344.7202276,179303002.207188,-11066615.0108047,41929925.0276663,3.95308083289544,5.70841749495261
"simple","Fixed effects only","herbaceous.biomass.c.stock","Herbaceous biomass","A","Balled-and-burlapped",-2139489316.32482,3083108350.66567,-5605217873.25271,-22062.9241048321,-194975645.206043,-22062.9241048321
"simple","Fixed effects only","herbaceous.biomass.c.stock","Herbaceous biomass","B","Bareroot",618102799.167716,1248047844.88865,-332653487.994967,3245644395.99914,-202627639.036705,101391777.669031
"simple","Fixed effects only","herbaceous.biomass.c.stock","Herbaceous biomass","C","Seedling",-1289603614.06739,4415794823.97207,-7579207636.66031,4468108381.23679,-84417165.0970551,122287448.075975
"simple","Fixed effects only","herbaceous.biomass.c.stock","Herbaceous biomass","D","Acorn",677892847.97994,2269395037.44241,-1603180804.44677,4073072281.21409,-170798951.329977,128737526.880471
"simple","Fixed effects only","herbaceous.biomass.c.stock","Herbaceous biomass","E","Seedbank",84699767.5030262,2673029368.69229,-2215309533.87377,3634862842.65233,-97351675.7582181,68348440.5781081
"simple","Fixed effects only","herbaceous.biomass.c.stock","Herbaceous biomass","R","Reference",794560190.653222,2020128728.2241,-1262982805.59176,4536814147.88841,-97048522.6346844,144884096.757983
"plot.random","Plot random effects","herbaceous.biomass.c.stock","Herbaceous biomass","A","Balled-and-burlapped",-1623906058.04987,5321194638.91567,-2092077510.83701,-87.3364835293214,-6727161.29071947,-87.3364835293214
"plot.random","Plot random effects","herbaceous.biomass.c.stock","Herbaceous biomass","B","Bareroot",720851773.263711,2681566745.21876,-667768583.741556,523911416.269913,-9527512.75018008,2749075.81631773
"plot.random","Plot random effects","herbaceous.biomass.c.stock","Herbaceous biomass","C","Seedling",-928588147.437288,3748666043.75822,-3034807414.72302,108437520.424894,-3572413.87971473,3722633.63542062
"plot.random","Plot random effects","herbaceous.biomass.c.stock","Herbaceous biomass","D","Acorn",-399971260.947502,5016285623.14005,-3709161623.89115,606522344.045181,-6587807.35740706,5575683.59279148
"plot.random","Plot random effects","herbaceous.biomass.c.stock","Herbaceous biomass","E","Seedbank",826909653.699284,2838510686.36533,-1357935754.29715,530724815.485274,-5944600.73458481,859911.250614617
"plot.random","Plot random effects","herbaceous.biomass.c.stock","Herbaceous biomass","R","Reference",-595680581.455872,1978427619.66437,-1534299917.18223,154246347.703878,-4874706.33589331,1655114.44734476
"strip.plot.random","Strip and plot random effects","herbaceous.biomass.c.stock","Herbaceous biomass","A","Balled-and-burlapped",-86559293.2857554,229680407.566804,-290765371.040312,-32.3743625356565,-1949809.32393722,-32.3743625356565
"strip.plot.random","Strip and plot random effects","herbaceous.biomass.c.stock","Herbaceous biomass","B","Bareroot",35288405.9202922,172448299.818915,-185526473.160935,81073308.1713014,-976977.21077347,1318775.71623061
"strip.plot.random","Strip and plot random effects","herbaceous.biomass.c.stock","Herbaceous biomass","C","Seedling",-71410055.5648054,238937560.413491,-360150674.697094,94006931.9011962,-2054083.86134339,1310636.9852355
"strip.plot.random","Strip and plot random effects","herbaceous.biomass.c.stock","Herbaceous biomass","D","Acorn",-37818961.1979682,114075977.435608,-228344255.212378,50886855.7220329,-1765580.55108013,1096310.50775412
"strip.plot.random","Strip and plot random effects","herbaceous.biomass.c.stock","Herbaceous biomass","E","Seedbank",18623937.2849716,118362016.649236,-110495797.024282,55685074.5490154,-1449811.4918924,1051200.74996268
"strip.plot.random","Strip and plot random effects","herbaceous.biomass.c.stock","Herbaceous biomass","R","Reference",-51415969.8212545,224712374.573221,-250908027.013515,60526009.6062701,-1468872.24610662,969443.211700886
"simple","Fixed effects only","mixed.biomass.c.stock","Mixed biomass","A","Balled-and-burlapped",-227685717.285171,372137731.845065,-732650333.983953,-48974.6155832775,-69359356.5587626,-186894.367296089
"simple","Fixed effects only","mixed.biomass.c.stock","Mixed biomass","B","Bareroot",-33345776.8555221,345188251.642259,-840088472.15857,373277358.904902,-87583332.7786436,47728964.7656679
"simple","Fixed effects only","mixed.biomass.c.stock","Mixed biomass","C","Seedling",-53562713.1456124,303257803.656399,-562853928.803061,424149002.535638,-63463792.5496313,53837128.4810524
"simple","Fixed effects only","mixed.biomass.c.stock","Mixed biomass","D","Acorn",-49233830.4203496,331335749.766817,-650274661.126763,360565518.657905,-55134097.8640868,71478870.6114124
"simple","Fixed effects only","mixed.biomass.c.stock","Mixed biomass","E","Seedbank",-174505331.905592,612188703.630893,-687539888.351099,247083084.530694,-60179413.0236772,38141116.2011097
"simple","Fixed effects only","mixed.biomass.c.stock","Mixed biomass","R","Reference",-14599907.7311498,286250326.757351,-431669777.394096,456467139.60768,-32285163.9025558,32714668.2393895
"plot.random","Plot random effects","mixed.biomass.c.stock","Mixed biomass","A","Balled-and-burlapped",-247946922.966707,449866959.561357,-668962270.441129,-6306.43215067172,-59496966.2286135,-6306.43215067172
"plot.random","Plot random effects","mixed.biomass.c.stock","Mixed biomass","B","Bareroot",-63009708.2050554,475322857.867031,-378847629.960064,553602224.549111,-24509612.84235,41566969.5919699
"plot.random","Plot random effects","mixed.biomass.c.stock","Mixed biomass","C","Seedling",-297333032.776609,798066697.00375,-1128410229.3374,189990383.728987,-27401794.5001271,33728157.5428391
"plot.random","Plot random effects","mixed.biomass.c.stock","Mixed biomass","D","Acorn",-217633853.429517,575150139.705868,-742385436.080779,339643078.337765,-73011194.1779751,36431205.9107676
"plot.random","Plot random effects","mixed.biomass.c.stock","Mixed biomass","E","Seedbank",-424409044.779494,990076560.836954,-1859712751.78932,604804642.707477,-70729163.8906715,53398798.5488637
"plot.random","Plot random effects","mixed.biomass.c.stock","Mixed biomass","R","Reference",-115908179.290279,491305961.096713,-739198894.914719,531604520.54637,-62915959.1565039,85867021.4900794
"strip.plot.random","Strip and plot random effects","mixed.biomass.c.stock","Mixed biomass","A","Balled-and-burlapped",-55772548.7022162,88298340.8036517,-145187628.971358,-506.822308555245,-23082215.1956292,-13802.3375983861
"strip.plot.random","Strip and plot random effects","mixed.biomass.c.stock","Mixed biomass","B","Bareroot",-21046102.2152456,83969720.4106953,-122279072.425147,69137733.8502275,-7039014.90653444,10822824.7034163
"strip.plot.random","Strip and plot random effects","mixed.biomass.c.stock","Mixed biomass","C","Seedling",4922152.9289764,84299212.9815849,-146562155.663959,116986051.326272,-6342917.9538891,17371003.6105458
"strip.plot.random","Strip and plot random effects","mixed.biomass.c.stock","Mixed biomass","D","Acorn",7174971.598952,81337112.9661674,-118580387.421701,111808276.486754,-10245355.9181438,14589789.305547
"strip.plot.random","Strip and plot random effects","mixed.biomass.c.stock","Mixed biomass","E","Seedbank",-53004743.0506761,129457072.126206,-221063799.055664,103762544.238894,-9140450.49272047,25225205.1163584
"strip.plot.random","Strip and plot random effects","mixed.biomass.c.stock","Mixed biomass","R","Reference",-5385662.08880022,96591999.1549778,-199773336.730105,83949702.843702,-8445788.23339228,14322432.0415411
"simple","Fixed effects only","p.arundinacea.c.stock","P. arundinacea biomass","A","Balled-and-burlapped",-452.125584455369,716.038908377519,-896.039110254401,0.78138388095681,-213.591071810496,0.78138388095681
"simple","Fixed effects only","p.arundinacea.c.stock","P. arundinacea biomass","B","Bareroot",-1074.85016512652,2216.73499769951,-4696.462098092,687.097099326407,-269.563735035506,217.93495647845
"simple","Fixed effects only","p.arundinacea.c.stock","P. arundinacea biomass","C","Seedling",-59.0279870342221,504.114813794358,-875.624071229786,614.827575455202,-232.554754654514,125.292880182269
"simple","Fixed effects only","p.arundinacea.c.stock","P. arundinacea biomass","D","Acorn",-279.828547878099,785.275261432796,-1481.54535031049,776.25851597924,-310.546269223514,175.472753917399
"simple","Fixed effects only","p.arundinacea.c.stock","P. arundinacea biomass","E","Seedbank",286.077082905009,403.276550897254,-119.287043614645,875.661974817312,1.13355634613948,210.702274240867
"simple","Fixed effects only","p.arundinacea.c.stock","P. arundinacea biomass","R","Reference",-232.341777448236,712.699039002788,-1580.70575847583,618.404589645685,-287.452031882691,201.624256667133
"plot.random","Plot random effects","p.arundinacea.c.stock","P. arundinacea biomass","A","Balled-and-burlapped",-40.9978476056319,62.644566200099,-165.877312217358,-4.93801895709007,-7.84354845848867,-4.93842272500951
"plot.random","Plot random effects","p.arundinacea.c.stock","P. arundinacea biomass","B","Bareroot",39.5894084033055,63.2279732570616,3.08806789951034,165.601263766233,3.16677853461349,6.5640440616104
"plot.random","Plot random effects","p.arundinacea.c.stock","P. arundinacea biomass","C","Seedling",26.4890381794115,58.2691055414398,-13.0509629729648,142.244195476438,-13.0383052655278,-0.775374262058085
"plot.random","Plot random effects","p.arundinacea.c.stock","P. arundinacea biomass","D","Acorn",39.1824284933478,63.1671264340824,3.21764342119979,165.159781710882,3.23792082912921,5.25764187892187
"plot.random","Plot random effects","p.arundinacea.c.stock","P. arundinacea biomass","E","Seedbank",42.0549515971194,62.6520210420231,5.38063349556908,167.017026908348,5.38417134216779,9.3844682569476
"plot.random","Plot random effects","p.arundinacea.c.stock","P. arundinacea biomass","R","Reference",15.761300667666,47.9098356837789,-29.2500544270509,108.201350571301,-4.04888000950285,6.43432156974093
"strip.plot.random","Strip and plot random effects","p.arundinacea.c.stock","P. arundinacea biomass","A","Balled-and-burlapped",-8.71950250419899,8.18381404087558,-16.3267224318853,-0.626385979486554,-10.3691904656719,-6.27832626664645
"strip.plot.random","Strip and plot random effects","p.arundinacea.c.stock","P. arundinacea biomass","B","Bareroot",5.43709885458163,8.46204129673461,-4.15182039417905,13.648480472038,3.48232308632023,7.407239510829
"strip.plot.random","Strip and plot random effects","p.arundinacea.c.stock","P. arundinacea biomass","C","Seedling",-5.68996853380994,11.1713588964707,-20.8780685263477,3.64659552343465,-2.84027225135089,2.27726494062367
"strip.plot.random","Strip and plot random effects","p.arundinacea.c.stock","P. arundinacea biomass","D","Acorn",3.94184460751779,12.7247553497916,-2.58635123380971,18.8650262541668,4.20520904632416,8.18644429462531
"strip.plot.random","Strip and plot random effects","p.arundinacea.c.stock","P. arundinacea biomass","E","Seedbank",10.1962910687155,8.85245257309641,0.670338339128223,18.2623852984656,0.771387596752104,7.24762312445416
"strip.plot.random","Strip and plot random effects","p.arundinacea.c.stock","P. arundinacea biomass","R","Reference",-6.27383525769835,39.6139563459274,-9.54156847221904,13.7478641799569,-0.946276010287674,6.35333217519927
"simple","Fixed effects only","h.japonicus.c.stock","H. japonicus biomass","A","Balled-and-burlapped",-431053056.854921,635924200.398953,-1359025443.64915,-60.0166078349575,-123515303.602394,-119493.616867854
"simple","Fixed effects only","h.japonicus.c.stock","H. japonicus biomass","B","Bareroot",-9942619.56113937,519746449.747586,-649213310.152785,910110924.281018,-64825366.7698827,103027525.091502
"simple","Fixed effects only","h.japonicus.c.stock","H. japonicus biomass","C","Seedling",39560266.3502176,483251651.929842,-618802586.903262,923257391.022981,-85579173.6716731,54444342.4941934
"simple","Fixed effects only","h.japonicus.c.stock","H. japonicus biomass","D","Acorn",114350438.056696,467219090.583822,-528530691.40908,1112509189.68365,-47404191.9788166,86033378.166005
"simple","Fixed effects only","h.japonicus.c.stock","H. japonicus biomass","E","Seedbank",94422137.2196416,380673460.251558,-336639731.166179,869905841.08844,-31017049.8045704,97122524.5661188
