"variable","variable.label","model","model.label","treatment","full.treatment.name","Rhat"
"dead.stem.carbonmin","Dead stems (< 2.5 cm)","simple","Fixed effects only","C","Seedling",1.00051911743759
"dead.stem.carbonmin","Dead stems (< 2.5 cm)","simple","Fixed effects only","D","Acorn",1.0001206606735
"dead.stem.carbonmin","Dead stems (< 2.5 cm)","simple","Fixed effects only","E","Seedbank",1.00018527726373
"dead.stem.carbonmin","Dead stems (< 2.5 cm)","simple","Fixed effects only","R","Reference",1.00015092904659
"dead.stem.carbonmin","Dead stems (< 2.5 cm)","strip.random","Strip random effects","A","Balled-and-burlapped",4.8245750228412
"dead.stem.carbonmin","Dead stems (< 2.5 cm)","strip.random","Strip random effects","B","Bareroot",3.45719646026168
"dead.stem.carbonmin","Dead stems (< 2.5 cm)","strip.random","Strip random effects","C","Seedling",4.16296497006883
"dead.stem.carbonmin","Dead stems (< 2.5 cm)","strip.random","Strip random effects","D","Acorn",4.42310101515567
"dead.stem.carbonmin","Dead stems (< 2.5 cm)","strip.random","Strip random effects","E","Seedbank",4.65982596941666
"dead.stem.carbonmin","Dead stems (< 2.5 cm)","strip.random","Strip random effects","R","Reference",2.93421074751175
"aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","simple","Fixed effects only","A","Balled-and-burlapped",1.00084700289167
"aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","simple","Fixed effects only","B","Bareroot",1.00030907554822
"aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","simple","Fixed effects only","C","Seedling",1.0004998424491
"aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","simple","Fixed effects only","D","Acorn",1.0005232574724
"aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","simple","Fixed effects only","E","Seedbank",1.00036558572638
"aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","simple","Fixed effects only","R","Reference",1.00058091440179
"aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","strip.random","Strip random effects","A","Balled-and-burlapped",1.00113790617194
"aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","strip.random","Strip random effects","B","Bareroot",1.00029945587196
"aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","strip.random","Strip random effects","C","Seedling",1.00019520366853
"aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","strip.random","Strip random effects","D","Acorn",1.00021093884754
"aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","strip.random","Strip random effects","E","Seedbank",1.00030091583819
"aboveground.woody.c.stock","Aboveground live trees (>= 2.5 cm)","strip.random","Strip random effects","R","Reference",1.00017768437372
"belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","simple","Fixed effects only","A","Balled-and-burlapped",1.00039747225175
"belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","simple","Fixed effects only","B","Bareroot",1.00027467780344
"belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","simple","Fixed effects only","C","Seedling",1.00031569709949
"belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","simple","Fixed effects only","D","Acorn",1.00038936035067
"belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","simple","Fixed effects only","E","Seedbank",1.00049815824141
"belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","simple","Fixed effects only","R","Reference",1.0002009724015
"belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","strip.random","Strip random effects","A","Balled-and-burlapped",1.00045857549663
"belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","strip.random","Strip random effects","B","Bareroot",1.0001243123479
"belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","strip.random","Strip random effects","C","Seedling",1.00053883363512
"belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","strip.random","Strip random effects","D","Acorn",1.0001856495373
"belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","strip.random","Strip random effects","E","Seedbank",1.00036289049701
"belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","strip.random","Strip random effects","R","Reference",1.00003586025642
"total.woody.c.stock","Live trees (>= 2.5 cm)","simple","Fixed effects only","A","Balled-and-burlapped",1.00070077200826
"total.woody.c.stock","Live trees (>= 2.5 cm)","simple","Fixed effects only","B","Bareroot",1.00046503873134
"total.woody.c.stock","Live trees (>= 2.5 cm)","simple","Fixed effects only","C","Seedling",1.00070000788083
"total.woody.c.stock","Live trees (>= 2.5 cm)","simple","Fixed effects only","D","Acorn",1.0004327426494
"total.woody.c.stock","Live trees (>= 2.5 cm)","simple","Fixed effects only","E","Seedbank",1.00027112246075
"total.woody.c.stock","Live trees (>= 2.5 cm)","simple","Fixed effects only","R","Reference",1.00024830592525
"total.woody.c.stock","Live trees (>= 2.5 cm)","strip.random","Strip random effects","A","Balled-and-burlapped",1.0005915951436
"total.woody.c.stock","Live trees (>= 2.5 cm)","strip.random","Strip random effects","B","Bareroot",1.00021521120976
"total.woody.c.stock","Live trees (>= 2.5 cm)","strip.random","Strip random effects","C","Seedling",1.00029142747634
"total.woody.c.stock","Live trees (>= 2.5 cm)","strip.random","Strip random effects","D","Acorn",1.0002231031573
"total.woody.c.stock","Live trees (>= 2.5 cm)","strip.random","Strip random effects","E","Seedbank",1.00019374903677
"total.woody.c.stock","Live trees (>= 2.5 cm)","strip.random","Strip random effects","R","Reference",1.00023928761637
"abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","simple","Fixed effects only","A","Balled-and-burlapped",1.00039985398525
"abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","simple","Fixed effects only","B","Bareroot",1.00018038003179
"abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","simple","Fixed effects only","C","Seedling",1.00022433602643
"abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","simple","Fixed effects only","D","Acorn",1.00015456824789
"abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","simple","Fixed effects only","E","Seedbank",1.0002886287491
"abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","simple","Fixed effects only","R","Reference",1.0003782980841
"abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","strip.random","Strip random effects","A","Balled-and-burlapped",1.00018960645814
"abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","strip.random","Strip random effects","B","Bareroot",1.00036372035002
"abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","strip.random","Strip random effects","C","Seedling",1.00015148541531
"abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","strip.random","Strip random effects","D","Acorn",1.0003130578053
"abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","strip.random","Strip random effects","E","Seedbank",1.00012318950905
"abg.live.stem.carbon","Aboveground live stems (< 2.5 cm)","strip.random","Strip random effects","R","Reference",1.00001075250043
"bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","simple","Fixed effects only","A","Balled-and-burlapped",1.00083752350638
"bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","simple","Fixed effects only","B","Bareroot",1.00051709859613
"bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","simple","Fixed effects only","C","Seedling",1.00019081375503
"bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","simple","Fixed effects only","D","Acorn",1.00026993878544
"bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","simple","Fixed effects only","E","Seedbank",1.00028388056291
"bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","simple","Fixed effects only","R","Reference",1.00010135379204
"bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","strip.random","Strip random effects","A","Balled-and-burlapped",1.00036533874626
"bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","strip.random","Strip random effects","B","Bareroot",1.00031929782705
"bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","strip.random","Strip random effects","C","Seedling",1.00026439401268
"bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","strip.random","Strip random effects","D","Acorn",1.00008234692714
"bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","strip.random","Strip random effects","E","Seedbank",1.00018996686528
"bg.live.stem.carbon","Belowground live stems (< 2.5 cm)","strip.random","Strip random effects","R","Reference",1.00014293996402
"tot.live.stem.carbon","Live stems (< 2.5 cm)","simple","Fixed effects only","A","Balled-and-burlapped",1.00055005335652
"tot.live.stem.carbon","Live stems (< 2.5 cm)","simple","Fixed effects only","B","Bareroot",1.00028641828069
"tot.live.stem.carbon","Live stems (< 2.5 cm)","simple","Fixed effects only","C","Seedling",1.00034418408113
"tot.live.stem.carbon","Live stems (< 2.5 cm)","simple","Fixed effects only","D","Acorn",1.00016216483047
"tot.live.stem.carbon","Live stems (< 2.5 cm)","simple","Fixed effects only","E","Seedbank",1.00052143866628
"tot.live.stem.carbon","Live stems (< 2.5 cm)","simple","Fixed effects only","R","Reference",1.00022141599057
"tot.live.stem.carbon","Live stems (< 2.5 cm)","strip.random","Strip random effects","A","Balled-and-burlapped",1.00043434582704
"tot.live.stem.carbon","Live stems (< 2.5 cm)","strip.random","Strip random effects","B","Bareroot",1.00005485112998
"tot.live.stem.carbon","Live stems (< 2.5 cm)","strip.random","Strip random effects","C","Seedling",1.00002533956988
"tot.live.stem.carbon","Live stems (< 2.5 cm)","strip.random","Strip random effects","D","Acorn",1.00006223405347
"tot.live.stem.carbon","Live stems (< 2.5 cm)","strip.random","Strip random effects","E","Seedbank",1.00012563133789
"tot.live.stem.carbon","Live stems (< 2.5 cm)","strip.random","Strip random effects","R","Reference",1.00016908661241
"snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","A","Balled-and-burlapped",1.00029355066631
"snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","B","Bareroot",1.00023196248037
"snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","C","Seedling",1.00026528805622
"snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","D","Acorn",1.00005396082854
"snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","E","Seedbank",1.00025345905096
"snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","R","Reference",1.00032568867509
"snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","A","Balled-and-burlapped",1.00035819546278
"snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","B","Bareroot",1.00001592019185
"snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","C","Seedling",1.00010651796947
"snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","D","Acorn",1.00006910857293
"snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","E","Seedbank",1.00011381498505
"snag.frax.live.c","Live F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","R","Reference",1.00028858118151
"snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","A","Balled-and-burlapped",1.00054552110314
"snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","B","Bareroot",1.00000197705043
"snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","C","Seedling",1.00020625012884
"snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","D","Acorn",1.00028080201319
"snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","E","Seedbank",1.00041366254291
"snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","simple","Fixed effects only","R","Reference",1.0004847112519
"snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","A","Balled-and-burlapped",1.00049335351587
"snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","B","Bareroot",1.00009554974033
"snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","C","Seedling",1.00006572190383
"snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","D","Acorn",1.00013114423627
"snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","E","Seedbank",1.00007943110371
"snag.frax.dead.c","Standing dead F. pennsylvanica (>= 2.5 cm)","strip.random","Strip random effects","R","Reference",1.00031319295455
"herbaceous.biomass.c.stock","Herbaceous biomass","simple","Fixed effects only","A","Balled-and-burlapped",1.0007085298184
"herbaceous.biomass.c.stock","Herbaceous biomass","simple","Fixed effects only","B","Bareroot",1.00039519246048
"herbaceous.biomass.c.stock","Herbaceous biomass","simple","Fixed effects only","C","Seedling",1.00009650771316
"herbaceous.biomass.c.stock","Herbaceous biomass","simple","Fixed effects only","D","Acorn",1.00058798831372
"herbaceous.biomass.c.stock","Herbaceous biomass","simple","Fixed effects only","E","Seedbank",1.0006452647051
"herbaceous.biomass.c.stock","Herbaceous biomass","simple","Fixed effects only","R","Reference",1.00048295889725
"herbaceous.biomass.c.stock","Herbaceous biomass","strip.random","Strip random effects","A","Balled-and-burlapped",1.00014582514054
"herbaceous.biomass.c.stock","Herbaceous biomass","strip.random","Strip random effects","B","Bareroot",1.00022744637638
"herbaceous.biomass.c.stock","Herbaceous biomass","strip.random","Strip random effects","C","Seedling",1.00010156038045
"herbaceous.biomass.c.stock","Herbaceous biomass","strip.random","Strip random effects","D","Acorn",1.00003642170291
"herbaceous.biomass.c.stock","Herbaceous biomass","strip.random","Strip random effects","E","Seedbank",1.00053285281513
"herbaceous.biomass.c.stock","Herbaceous biomass","strip.random","Strip random effects","R","Reference",1.00002814722944
"mixed.biomass.c.stock","Mixed biomass","simple","Fixed effects only","A","Balled-and-burlapped",1.00050454101884
"mixed.biomass.c.stock","Mixed biomass","simple","Fixed effects only","B","Bareroot",1.00027991341978
"mixed.biomass.c.stock","Mixed biomass","simple","Fixed effects only","C","Seedling",1.00034877945623
"mixed.biomass.c.stock","Mixed biomass","simple","Fixed effects only","D","Acorn",1.00021058622283
"mixed.biomass.c.stock","Mixed biomass","simple","Fixed effects only","E","Seedbank",1.00019166068636
"mixed.biomass.c.stock","Mixed biomass","simple","Fixed effects only","R","Reference",1.00048309613586
"mixed.biomass.c.stock","Mixed biomass","strip.random","Strip random effects","A","Balled-and-burlapped",1.00024709583009
"mixed.biomass.c.stock","Mixed biomass","strip.random","Strip random effects","B","Bareroot",1.00034675789038
"mixed.biomass.c.stock","Mixed biomass","strip.random","Strip random effects","C","Seedling",1.00016252615414
"mixed.biomass.c.stock","Mixed biomass","strip.random","Strip random effects","D","Acorn",1.0001626379803
"mixed.biomass.c.stock","Mixed biomass","strip.random","Strip random effects","E","Seedbank",1.000124815546
"mixed.biomass.c.stock","Mixed biomass","strip.random","Strip random effects","R","Reference",1.00008141199703
"p.arundinacea.c.stock","P. arundinacea biomass","simple","Fixed effects only","A","Balled-and-burlapped",1.00047258959427
"p.arundinacea.c.stock","P. arundinacea biomass","simple","Fixed effects only","B","Bareroot",1.00026605384329
"p.arundinacea.c.stock","P. arundinacea biomass","simple","Fixed effects only","C","Seedling",1.00007273765149
"p.arundinacea.c.stock","P. arundinacea biomass","simple","Fixed effects only","D","Acorn",1.00004126949678
"p.arundinacea.c.stock","P. arundinacea biomass","simple","Fixed effects only","E","Seedbank",1.00075897406941
"p.arundinacea.c.stock","P. arundinacea biomass","simple","Fixed effects only","R","Reference",1.00023463175545
"p.arundinacea.c.stock","P. arundinacea biomass","strip.random","Strip random effects","A","Balled-and-burlapped",1.00127110629585
"p.arundinacea.c.stock","P. arundinacea biomass","strip.random","Strip random effects","B","Bareroot",1.00041228700977
"p.arundinacea.c.stock","P. arundinacea biomass","strip.random","Strip random effects","C","Seedling",1.00053553445469
"p.arundinacea.c.stock","P. arundinacea biomass","strip.random","Strip random effects","D","Acorn",1.00068915325775
"p.arundinacea.c.stock","P. arundinacea biomass","strip.random","Strip random effects","E","Seedbank",1.00041616073995
"p.arundinacea.c.stock","P. arundinacea biomass","strip.random","Strip random effects","R","Reference",1.00028923558116
"h.japonicus.c.stock","H. japonicus biomass","simple","Fixed effects only","A","Balled-and-burlapped",1.00075491146323
"h.japonicus.c.stock","H. japonicus biomass","simple","Fixed effects only","B","Bareroot",1.00022097826625
"h.japonicus.c.stock","H. japonicus biomass","simple","Fixed effects only","C","Seedling",1.00016298119327
