"v","t","mean","sd","5","95","15","85","25","75"
"SOM (%)","Balled-and-burlapped",5.13173339639781,0.18754897297643,4.82180996087122,5.42708505830345,4.94581798575668,5.31277537462285,5.02868424373256,5.2670422816917
"SOM (%)","Bareroot",5.57029621381677,0.190237211789256,5.2707652889515,5.89088103593608,5.36910575256917,5.74214002859643,5.43062684380029,5.67089587628276
"SOM (%)","Seedling",5.32345006507109,0.186837797954936,5.01498970279313,5.60884882604844,5.16058460247962,5.53514060168784,5.19329135244397,5.43126280743864
"SOM (%)","Acorn",5.50978381543494,0.188097950793055,5.18910932167861,5.80241591637172,5.31377905268552,5.68150162351348,5.37371925848655,5.61083790819028
"SOM (%)","Seedbank",5.90443884253264,0.186685527879249,5.59703726618722,6.19789221006094,5.71191171082943,6.07827761069724,5.78114331293934,6.01904054150003
"SOM (%)","Reference",6.21791690864772,0.193371051222326,5.8986261515687,6.52399793431595,6.02443842841289,6.39909368187258,6.08888372254503,6.33195710788326
"TOC (%)","Balled-and-burlapped",3.20343870512158,0.181562632668429,2.92463591902733,3.51069492007507,3.02966484383975,3.38872925745145,3.05963614125974,3.28692343393131
"TOC (%)","Bareroot",3.43456777673284,0.175984033593852,3.1505971327013,3.72500986745459,3.25388933988959,3.60144516924317,3.31950276060369,3.54737999279053
"TOC (%)","Seedling",3.45405578407185,0.186614989868054,3.15352539740594,3.74994697847531,3.27213605935729,3.64339777459199,3.32970263367788,3.56914403454492
"TOC (%)","Acorn",4.27192223144802,0.201170635865855,3.95698946808586,4.61139770476262,4.07810002908941,4.47859777512396,4.13926361320239,4.39435604638883
"TOC (%)","Seedbank",4.40834107467358,0.207031372251511,4.06402271998934,4.73528067151822,4.213949370894,4.61261988708639,4.24700700533875,4.50528431838993
"TOC (%)","Reference",4.55737442632524,0.218805138994997,4.20546597086659,4.92447662927221,4.34839582319597,4.76171073035528,4.38434832773767,4.64617360782085
"TIC","Balled-and-burlapped",0.725185783307273,0.158860526124739,0.485249719521412,0.940633556061067,0.565617833342674,0.83410862863644,0.608921064301432,0.779579478397094
"TIC","Bareroot",0.622088713608781,0.132959184429778,0.410676025297932,0.806343349747725,0.49040748327594,0.72530818264225,0.540435688088974,0.687328018983089
"TIC","Seedling",0.641799914633863,0.162072518409415,0.428447257468365,0.871465819638911,0.486458523952737,0.74127052826057,0.548215053872894,0.708939820867569
"TIC","Acorn",0.175847258082318,0.0602708344557222,0.0785422458748228,0.259321250893648,0.109239928713825,0.222343758074703,0.124260062056078,0.198842816153889
"TIC","Seedbank",0.0662571618187969,0.0353949262305476,0.0157087305540453,0.116186498300626,0.0234271743137372,0.0858281159071611,0.0351764436482088,0.0751553003542011
"TIC","Reference",0.0659896665253171,0.0338622285143051,0.0134482185039944,0.112699687031948,0.0241169917526288,0.0862781728263362,0.0346496160248474,0.0751620646356211
"POM-C (%)","Balled-and-burlapped",0.50483672404795,0.057642849131659,0.413124185204487,0.596914888755409,0.441936955960242,0.556492135383237,0.455565834359793,0.528543831918684
"POM-C (%)","Bareroot",0.626409855421894,0.0641969326281533,0.526357025573577,0.733880521656715,0.556619252703203,0.680180523267004,0.58084677650692,0.661463787025205
"POM-C (%)","Seedling",0.473903027684111,0.0574901057298875,0.38142118551397,0.567400462973452,0.412910242292549,0.526654079998579,0.435100586777915,0.507692646717905
"POM-C (%)","Acorn",0.622089910345588,0.0635307759547049,0.518321257543677,0.722682684345444,0.558131076172336,0.677826420587875,0.580865944766819,0.65606852237595
"POM-C (%)","Seedbank",0.64013287725263,0.0666426646065547,0.530182209159415,0.744140780719716,0.574331547429741,0.705316217936695,0.597930088546081,0.682059732507788
"POM-C (%)","Reference",0.580631059582663,0.0644966248000071,0.469039149009534,0.67171036176283,0.519048972640781,0.644604040977263,0.542109189791872,0.623350548261167
"MAOM-C (%)","Balled-and-burlapped",2.68569998745608,0.179746059905401,2.39540934882768,2.97661614749161,2.51017917321988,2.87698575825094,2.55829273173836,2.79681741816065
"MAOM-C (%)","Bareroot",2.80992381586168,0.18749586401028,2.51982671267882,3.11154545723682,2.61946247457647,2.99130914988683,2.69862432619241,2.93781507810258
"MAOM-C (%)","Seedling",2.98376356968986,0.192571966079641,2.67489501901263,3.29185907754665,2.77954469176621,3.15712699216271,2.8545012500622,3.09777166212871
"MAOM-C (%)","Acorn",3.65172764949934,0.214579281272943,3.29085212022258,3.99394368242217,3.44670924683172,3.87332431464846,3.5087418795513,3.77366294930898
"MAOM-C (%)","Seedbank",3.75819122998955,0.218687169837388,3.39939282349283,4.09749632336852,3.55059123378668,3.98280814410604,3.64250355239251,3.92545447503442
"MAOM-C (%)","Reference",3.95436292504973,0.223924830314092,3.5942557077755,4.29706887955451,3.71981945813887,4.15044739455541,3.82051463347312,4.09016018510012
"TC (%)","Balled-and-burlapped",3.95991245012206,0.164439167216093,3.67084807498284,4.20221647601668,3.77683560867877,4.10391016690208,3.83346854417487,4.04282182007781
"TC (%)","Bareroot",4.08525018540664,0.175045980279649,3.79962021559226,4.35610242558229,3.88161233848051,4.22560488442353,3.97016985521384,4.18413218180198
"TC (%)","Seedling",4.13596168571449,0.175461951985615,3.85682157640038,4.41703659878683,3.96484117870513,4.30968889110686,4.02679904403519,4.24829114467215
"TC (%)","Acorn",4.12310087494175,0.17084171015001,3.84763786509571,4.39794953913243,3.96002313916374,4.30570470262346,3.99898475827165,4.22111629721011
"TC (%)","Seedbank",4.17230191708782,0.174941352668683,3.8887809127407,4.45807482151014,3.98153725012123,4.33613118478161,4.04012817709097,4.25869433202567
"TC (%)","Reference",3.46960596511176,0.14998585006763,3.21371638073384,3.69228467093748,3.32647444683221,3.61279322058455,3.36203692668293,3.54817369313269
"TN (%)","Balled-and-burlapped",0.280396665386999,0.0260177471612971,0.235508479049194,0.319859269824674,0.255479767147999,0.305710359849242,0.259979925199509,0.291673526623087
"TN (%)","Bareroot",0.296164073445924,0.0258974429811875,0.251177305775765,0.337268421831849,0.269358503011902,0.319423918041037,0.281086687236824,0.312691198494338
